wavelength_um,loss_10,loss_10_sd,loss_12,loss_12_sd,loss_13,loss_13_sd
0.940728,0.99124,0.0282402,0.835583,0.0238167,0.731551,0.0215921
0.944927,0.987657,0.0279968,0.832666,0.02358,0.729067,0.0213661
0.949145,0.984099,0.0277571,0.82977,0.0233468,0.726599,0.0211433
0.953382,0.980567,0.027521,0.826894,0.0231171,0.724148,0.0209237
0.957638,0.977061,0.0272884,0.824038,0.0228908,0.721714,0.0207072
0.961913,0.973579,0.0270594,0.821203,0.022668,0.719298,0.020494
0.966207,0.970123,0.0268338,0.818388,0.0224485,0.716898,0.0202838
0.97052,0.966692,0.0266116,0.815592,0.0222324,0.714514,0.0200768
0.974852,0.963286,0.0263928,0.812817,0.0220195,0.712148,0.0198728
0.979204,0.959905,0.0261773,0.810061,0.02181,0.709798,0.0196719
0.983575,0.956548,0.0259651,0.807325,0.0216037,0.707465,0.0194739
0.987965,0.953216,0.0257561,0.804609,0.0214005,0.705148,0.019279
0.992376,0.949909,0.0255504,0.801912,0.0212006,0.702847,0.019087
0.996806,0.946625,0.0253477,0.799234,0.0210038,0.700563,0.0188979
1.00126,0.943366,0.0251482,0.796576,0.0208101,0.698295,0.0187118
1.00572,0.940131,0.0249518,0.793937,0.0206194,0.696043,0.0185285
1.01021,0.93692,0.0247583,0.791317,0.0204318,0.693807,0.0183481
1.01472,0.933733,0.0245678,0.788717,0.0202472,0.691588,0.0181705
1.01925,0.930569,0.0243803,0.786135,0.0200656,0.689384,0.0179957
1.0238,0.927429,0.0241957,0.783572,0.0198868,0.687196,0.0178237
1.02837,0.924313,0.0240139,0.781027,0.019711,0.685023,0.0176544
1.03296,0.92122,0.0238349,0.778502,0.019538,0.682867,0.0174879
1.03758,0.91815,0.0236587,0.775995,0.0193679,0.680726,0.017324
1.04221,0.915103,0.0234852,0.773506,0.0192005,0.678601,0.0171628
1.04686,0.912079,0.0233143,0.771036,0.0190359,0.676491,0.0170042
1.05153,0.909078,0.0231462,0.768584,0.018874,0.674396,0.0168482
1.05623,0.9061,0.0229806,0.766151,0.0187148,0.672317,0.0166948
1.06094,0.903145,0.0228175,0.763735,0.0185583,0.670254,0.0165439
1.06568,0.900212,0.022657,0.761338,0.0184043,0.668205,0.0163955
1.07043,0.897301,0.022499,0.758958,0.0182529,0.666171,0.0162497
1.07521,0.894413,0.0223433,0.756596,0.0181041,0.664153,0.0161062
1.08001,0.891547,0.0221901,0.754253,0.0179578,0.66215,0.0159653
1.08483,0.888703,0.0220392,0.751926,0.0178139,0.660161,0.0158267
1.08968,0.88588,0.0218906,0.749618,0.0176725,0.658187,0.0156904
1.09454,0.88308,0.0217443,0.747327,0.0175335,0.656228,0.0155566
1.09943,0.880302,0.0216003,0.745053,0.0173969,0.654284,0.015425
1.10433,0.877545,0.0214584,0.742797,0.0172626,0.652355,0.0152957
1.10926,0.874809,0.0213186,0.740558,0.0171305,0.65044,0.0151687
1.11422,0.872095,0.021181,0.738336,0.0170008,0.648539,0.0150439
1.11919,0.869403,0.0210454,0.736131,0.0168732,0.646653,0.0149212
1.12418,0.866731,0.0209119,0.733943,0.0167479,0.644781,0.0148008
1.1292,0.864081,0.0207803,0.731773,0.0166247,0.642924,0.0146824
1.13424,0.861451,0.0206508,0.729619,0.0165036,0.64108,0.0145662
1.13931,0.858842,0.0205231,0.727481,0.0163846,0.639251,0.014452
1.14439,0.856254,0.0203973,0.725361,0.0162676,0.637436,0.0143399
1.1495,0.853687,0.0202733,0.723257,0.0161526,0.635635,0.0142297
1.15463,0.85114,0.0201511,0.721169,0.0160397,0.633848,0.0141216
1.15979,0.848614,0.0200307,0.719098,0.0159286,0.632075,0.0140154
1.16496,0.846108,0.019912,0.717043,0.0158195,0.630316,0.0139111
1.17016,0.843622,0.019795,0.715005,0.0157122,0.62857,0.0138087
1.17539,0.841156,0.0196796,0.712983,0.0156068,0.626838,0.0137081
1.18063,0.83871,0.0195659,0.710976,0.0155031,0.62512,0.0136094
1.1859,0.836284,0.0194537,0.708986,0.0154013,0.623415,0.0135124
1.1912,0.833878,0.0193431,0.707012,0.0153011,0.621723,0.0134172
1.19652,0.831492,0.0192339,0.705054,0.0152027,0.620046,0.0133238
1.20186,0.829125,0.0191262,0.703111,0.0151059,0.618381,0.013232
1.20722,0.826777,0.01902,0.701184,0.0150107,0.61673,0.0131419
1.21261,0.824449,0.0189151,0.699273,0.0149171,0.615092,0.0130534
1.21802,0.822141,0.0188116,0.697377,0.0148251,0.613467,0.0129665
1.22346,0.819851,0.0187094,0.695497,0.0147346,0.611855,0.0128812
1.22892,0.81758,0.0186086,0.693632,0.0146456,0.610256,0.0127975
1.23441,0.815329,0.0185089,0.691782,0.014558,0.60867,0.0127152
1.23992,0.813096,0.0184105,0.689948,0.0144719,0.607098,0.0126344
1.24545,0.810882,0.0183133,0.688129,0.0143872,0.605538,0.0125551
1.25101,0.808687,0.0182172,0.686324,0.0143038,0.60399,0.0124772
1.2566,0.80651,0.0181223,0.684535,0.0142217,0.602456,0.0124007
1.26221,0.804352,0.0180284,0.682761,0.014141,0.600934,0.0123255
1.26784,0.802212,0.0179356,0.681002,0.0140615,0.599424,0.0122517
1.2735,0.80009,0.0178438,0.679257,0.0139832,0.597928,0.0121792
1.27919,0.797987,0.0177531,0.677527,0.0139061,0.596443,0.0121079
1.2849,0.795902,0.0176633,0.675812,0.0138302,0.594971,0.0120379
1.29063,0.793834,0.0175744,0.674111,0.0137555,0.593512,0.0119691
1.29639,0.791785,0.0174865,0.672425,0.0136818,0.592065,0.0119015
1.30218,0.789753,0.0173994,0.670753,0.0136093,0.590629,0.011835
1.30799,0.787739,0.0173132,0.669095,0.0135377,0.589206,0.0117697
1.31383,0.785743,0.0172278,0.667452,0.0134672,0.587796,0.0117055
1.3197,0.783764,0.0171432,0.665823,0.0133977,0.586397,0.0116423
1.32559,0.781803,0.0170593,0.664208,0.0133292,0.58501,0.0115802
1.33151,0.779858,0.0169762,0.662607,0.0132616,0.583635,0.0115191
1.33745,0.777931,0.0168939,0.66102,0.0131949,0.582272,0.0114591
1.34342,0.776022,0.0168122,0.659447,0.0131291,0.580921,0.0113999
1.34942,0.774129,0.0167312,0.657887,0.0130642,0.579582,0.0113418
1.35544,0.772253,0.0166509,0.656342,0.0130001,0.578254,0.0112845
1.36149,0.770394,0.0165712,0.65481,0.0129368,0.576938,0.0112282
1.36757,0.768552,0.016492,0.653292,0.0128743,0.575633,0.0111727
1.37367,0.766727,0.0164135,0.651787,0.0128126,0.57434,0.011118
1.3798,0.764918,0.0163355,0.650296,0.0127516,0.573058,0.0110642
1.38596,0.763126,0.0162581,0.648818,0.0126914,0.571788,0.0110112
1.39215,0.76135,0.0161812,0.647353,0.0126318,0.570529,0.010959
1.39837,0.75959,0.0161048,0.645902,0.0125729,0.569282,0.0109076
1.40461,0.757847,0.0160289,0.644464,0.0125147,0.568045,0.0108568
1.41088,0.75612,0.0159535,0.643039,0.0124571,0.56682,0.0108068
1.41718,0.754408,0.0158785,0.641627,0.0124001,0.565606,0.0107575
1.4235,0.752713,0.0158039,0.640228,0.0123437,0.564403,0.0107089
1.42986,0.751034,0.0157298,0.638842,0.0122879,0.563211,0.0106609
1.43624,0.74937,0.0156561,0.637469,0.0122327,0.56203,0.0106136
1.44265,0.747723,0.0155828,0.636109,0.012178,0.56086,0.0105669
1.44909,0.746091,0.0155099,0.634761,0.0121239,0.5597,0.0105209
1.45556,0.744474,0.0154374,0.633426,0.0120702,0.558552,0.0104754
1.46206,0.742873,0.0153652,0.632103,0.0120171,0.557414,0.0104305
1.46858,0.741287,0.0152934,0.630794,0.0119645,0.556287,0.0103861
1.47514,0.739717,0.0152219,0.629496,0.0119123,0.555171,0.0103423
1.48172,0.738162,0.0151508,0.628211,0.0118607,0.554064,0.0102991
1.48834,0.736622,0.01508,0.626938,0.0118094,0.552969,0.0102563
1.49498,0.735097,0.0150096,0.625678,0.0117587,0.551884,0.0102141
1.50165,0.733587,0.0149394,0.62443,0.0117083,0.550809,0.0101724
1.50836,0.732092,0.0148696,0.623194,0.0116584,0.549745,0.0101312
1.51509,0.730611,0.0148002,0.62197,0.0116089,0.548691,0.0100904
1.52185,0.729146,0.014731,0.620758,0.0115599,0.547648,0.0100501
1.52865,0.727695,0.0146622,0.619558,0.0115112,0.546614,0.0100103
1.53547,0.726258,0.0145936,0.618369,0.0114629,0.545591,0.00997091
1.54233,0.724836,0.0145255,0.617193,0.0114151,0.544578,0.00993198
1.54921,0.723429,0.0144576,0.616028,0.0113676,0.543574,0.00989349
1.55613,0.722036,0.01439,0.614875,0.0113206,0.542581,0.00985543
1.56307,0.720657,0.0143228,0.613734,0.0112739,0.541598,0.00981781
1.57005,0.719292,0.014256,0.612604,0.0112276,0.540625,0.00978061
1.57706,0.717941,0.0141895,0.611486,0.0111818,0.539661,0.00974383
1.5841,0.716605,0.0141233,0.610379,0.0111363,0.538707,0.00970747
1.59117,0.715282,0.0140576,0.609284,0.0110912,0.537763,0.00967153
1.59827,0.713973,0.0139922,0.6082,0.0110465,0.536829,0.00963601
1.60541,0.712678,0.0139272,0.607127,0.0110023,0.535904,0.00960091
1.61257,0.711397,0.0138626,0.606066,0.0109584,0.534989,0.00956623
1.61977,0.710129,0.0137984,0.605015,0.010915,0.534084,0.00953197
1.627,0.708875,0.0137347,0.603976,0.010872,0.533188,0.00949814
1.63427,0.707634,0.0136715,0.602948,0.0108295,0.532301,0.00946473
1.64156,0.706407,0.0136087,0.60193,0.0107874,0.531424,0.00943176
1.64889,0.705193,0.0135464,0.600924,0.0107458,0.530556,0.00939923
1.65625,0.703992,0.0134847,0.599928,0.0107046,0.529697,0.00936715
1.66364,0.702805,0.0134235,0.598944,0.0106639,0.528848,0.00933551
1.67107,0.70163,0.0133629,0.59797,0.0106238,0.528008,0.00930434
1.67853,0.700469,0.0133029,0.597007,0.0105841,0.527177,0.00927365
1.68602,0.699321,0.0132435,0.596054,0.010545,0.526355,0.00924343
1.69355,0.698185,0.0131847,0.595112,0.0105065,0.525542,0.0092137
1.70111,0.697063,0.0131267,0.59418,0.0104685,0.524738,0.00918449
1.7087,0.695953,0.0130694,0.593259,0.0104311,0.523943,0.00915578
1.71633,0.694856,0.0130128,0.592349,0.0103943,0.523157,0.00912761
1.72399,0.693771,0.0129571,0.591448,0.0103582,0.52238,0.00909999
1.73169,0.692699,0.0129021,0.590558,0.0103227,0.521612,0.00907293
1.73942,0.69164,0.0128481,0.589678,0.010288,0.520853,0.00904644
1.74718,0.690593,0.0127949,0.588809,0.0102539,0.520102,0.00902055
1.75498,0.689558,0.0127428,0.587949,0.0102206,0.51936,0.00899528
1.76281,0.688536,0.0126916,0.5871,0.0101881,0.518627,0.00897064
1.77068,0.687526,0.0126414,0.586261,0.0101563,0.517902,0.00894664
1.77859,0.686527,0.0125923,0.585431,0.0101254,0.517186,0.00892332
1.78653,0.685541,0.0125444,0.584612,0.0100953,0.516478,0.00890069
1.7945,0.684567,0.0124976,0.583802,0.0100662,0.515779,0.00887878
1.80251,0.683605,0.0124521,0.583002,0.010038,0.515088,0.0088576
1.81056,0.682655,0.0124079,0.582212,0.0100107,0.514406,0.00883718
1.81864,0.681717,0.012365,0.581432,0.00998438,0.513731,0.00881753
1.82676,0.68079,0.0123234,0.580661,0.00995912,0.513066,0.00879869
1.83491,0.679875,0.0122833,0.5799,0.00993491,0.512408,0.00878068
1.8431,0.678972,0.0122447,0.579149,0.0099118,0.511759,0.00876352
1.85133,0.67808,0.0122076,0.578407,0.00988982,0.511118,0.00874723
1.8596,0.6772,0.0121722,0.577674,0.00986901,0.510484,0.00873183
1.8679,0.676331,0.0121383,0.576951,0.00984939,0.50986,0.00871736
1.87624,0.675473,0.0121062,0.576237,0.009831,0.509243,0.00870383
1.88461,0.674627,0.0120758,0.575533,0.00981389,0.508634,0.00869127
1.89302,0.673792,0.0120473,0.574837,0.00979808,0.508033,0.0086797
1.90147,0.672968,0.0120206,0.574151,0.0097836,0.507439,0.00866914
1.90996,0.672155,0.0119958,0.573474,0.0097705,0.506854,0.00865961
1.91849,0.671353,0.011973,0.572807,0.00975879,0.506277,0.00865114
1.92705,0.670563,0.0119523,0.572148,0.00974853,0.505707,0.00864375
1.93565,0.669783,0.0119335,0.571498,0.00973973,0.505145,0.00863745
1.94429,0.669014,0.011917,0.570857,0.00973242,0.504591,0.00863227
1.95297,0.668256,0.0119025,0.570225,0.00972664,0.504045,0.00862822
1.96169,0.667508,0.0118903,0.569602,0.00972241,0.503506,0.00862533
1.97045,0.666771,0.0118804,0.568988,0.00971975,0.502975,0.0086236
1.97924,0.666045,0.0118727,0.568383,0.0097187,0.502451,0.00862306
1.98808,0.66533,0.0118674,0.567786,0.00971927,0.501935,0.00862371
1.99695,0.664625,0.0118645,0.567198,0.00972149,0.501426,0.00862557
2.00587,0.66393,0.011864,0.566618,0.00972537,0.500925,0.00862866
2.01482,0.663246,0.0118659,0.566047,0.00973094,0.500431,0.00863298
2.02382,0.662572,0.0118703,0.565485,0.00973821,0.499944,0.00863855
2.03285,0.661908,0.0118772,0.564931,0.00974719,0.499465,0.00864536
2.04193,0.661255,0.0118866,0.564386,0.00975789,0.498993,0.00865344
2.05104,0.660611,0.0118986,0.563849,0.00977034,0.498528,0.00866278
2.0602,0.659978,0.0119132,0.56332,0.00978453,0.498071,0.0086734
2.06939,0.659355,0.0119303,0.5628,0.00980048,0.49762,0.00868529
2.07863,0.658742,0.0119501,0.562288,0.00981818,0.497177,0.00869845
2.08791,0.658138,0.0119725,0.561784,0.00983765,0.496741,0.0087129
2.09723,0.657545,0.0119975,0.561288,0.00985889,0.496311,0.00872863
2.10659,0.656961,0.0120251,0.5608,0.00988189,0.495889,0.00874564
2.116,0.656388,0.0120554,0.560321,0.00990665,0.495474,0.00876393
2.12544,0.655824,0.0120883,0.559849,0.00993318,0.495066,0.0087835
2.13493,0.655269,0.0121238,0.559386,0.00996147,0.494664,0.00880435
2.14446,0.654724,0.012162,0.55893,0.00999151,0.49427,0.00882647
2.15403,0.654189,0.0122027,0.558482,0.0100233,0.493882,0.00884986
2.16365,0.653663,0.0122461,0.558043,0.0100568,0.493501,0.00887451
2.17331,0.653147,0.0122921,0.557611,0.0100921,0.493127,0.00890043
2.18301,0.65264,0.0123407,0.557186,0.0101291,0.49276,0.0089276
2.19275,0.652142,0.0123919,0.55677,0.0101678,0.492399,0.00895602
2.20254,0.651654,0.0124457,0.556361,0.0102082,0.492045,0.00898568
2.21237,0.651174,0.0125019,0.55596,0.0102503,0.491698,0.00901657
2.22225,0.650704,0.0125607,0.555567,0.010294,0.491357,0.0090487
2.23217,0.650244,0.012622,0.555181,0.0103395,0.491022,0.00908205
2.24213,0.649792,0.0126858,0.554802,0.0103866,0.490695,0.00911661
2.25214,0.649349,0.012752,0.554431,0.0104353,0.490373,0.00915237
2.26219,0.648915,0.0128207,0.554068,0.0104856,0.490058,0.00918934
2.27229,0.64849,0.0128917,0.553712,0.0105376,0.48975,0.0092275
2.28244,0.648074,0.0129652,0.553363,0.0105911,0.489448,0.00926684
2.29262,0.647667,0.013041,0.553022,0.0106462,0.489152,0.00930736
2.30286,0.647269,0.0131191,0.552688,0.0107029,0.488862,0.00934904
2.31314,0.646879,0.0131995,0.552361,0.0107612,0.488579,0.00939188
2.32346,0.646498,0.0132822,0.552041,0.0108209,0.488302,0.00943588
2.33384,0.646126,0.0133671,0.551729,0.0108822,0.488031,0.00948102
2.34425,0.645762,0.0134543,0.551423,0.010945,0.487767,0.00952729
2.35472,0.645407,0.0135436,0.551125,0.0110093,0.487508,0.00957469
2.36523,0.64506,0.0136351,0.550834,0.011075,0.487256,0.00962322
2.37579,0.644722,0.0137287,0.55055,0.0111422,0.48701,0.00967285
2.38639,0.644392,0.0138244,0.550273,0.0112109,0.486769,0.0097236
2.39705,0.64407,0.0139222,0.550002,0.011281,0.486535,0.00977544
2.40775,0.643757,0.0140221,0.549739,0.0113525,0.486307,0.00982837
2.41849,0.643451,0.0141239,0.549483,0.0114254,0.486085,0.00988239
2.42929,0.643155,0.0142278,0.549233,0.0114997,0.485868,0.00993749
2.44013,0.642866,0.0143336,0.54899,0.0115754,0.485658,0.00999366
2.45103,0.642585,0.0144414,0.548754,0.0116524,0.485453,0.0100509
2.46197,0.642313,0.014551,0.548525,0.0117308,0.485254,0.0101092
2.47296,0.642048,0.0146626,0.548302,0.0118106,0.485061,0.0101685
2.484,0.641792,0.014776,0.548086,0.0118916,0.484874,0.0102289
2.49509,0.641543,0.0148913,0.547876,0.011974,0.484693,0.0102903
2.50622,0.641302,0.0150084,0.547674,0.0120577,0.484517,0.0103528
2.51741,0.64107,0.0151273,0.547477,0.0121426,0.484347,0.0104163
2.52865,0.640845,0.0152479,0.547287,0.0122289,0.484182,0.0104808
2.53994,0.640627,0.0153703,0.547104,0.0123164,0.484023,0.0105464
2.55127,0.640418,0.0154945,0.546927,0.0124052,0.48387,0.0106129
2.56266,0.640216,0.0156203,0.546757,0.0124953,0.483722,0.0106805
2.5741,0.640021,0.0157478,0.546593,0.0125866,0.48358,0.010749
2.58559,0.639834,0.015877,0.546435,0.0126791,0.483443,0.0108186
2.59713,0.639655,0.0160079,0.546283,0.0127728,0.483312,0.0108892
2.60873,0.639484,0.0161404,0.546138,0.0128678,0.483186,0.0109607
2.62037,0.63932,0.0162745,0.545999,0.0129639,0.483066,0.0110332
2.63207,0.639163,0.0164101,0.545866,0.0130613,0.482951,0.0111068
2.64382,0.639013,0.0165474,0.545739,0.0131598,0.482841,0.0111812
2.65562,0.638871,0.0166862,0.545619,0.0132595,0.482737,0.0112567
2.66748,0.638736,0.0168265,0.545504,0.0133604,0.482638,0.0113331
2.67938,0.638609,0.0169684,0.545396,0.0134625,0.482544,0.0114106
2.69134,0.638488,0.0171118,0.545293,0.0135657,0.482455,0.0114889
