wavelength_um,SW,uc_SW,Total,uc_Total,LW,uc_LW,SSW,uc_SSW
5.87499,0.000434885,0.000999007,0.972358,0.00170862,0.596383,0.00224694,0.000260693,0.00102643
5.87968,0.000441097,0.000999422,0.972508,0.00171184,0.596251,0.0020154,0.000264446,0.00102687
5.88437,0.000447307,0.000999836,0.97266,0.00171525,0.596171,0.0018105,0.000268424,0.00102731
5.88906,0.000453514,0.00100025,0.972812,0.00171886,0.59614,0.00164211,0.00027263,0.00102775
5.89376,0.000459717,0.00100067,0.972964,0.00172269,0.596154,0.00152208,0.00027707,0.00102819
5.89846,0.000465916,0.00100108,0.973117,0.00172717,0.59621,0.00146403,0.000281749,0.00102863
5.90316,0.000472109,0.0010015,0.97327,0.00172682,0.596304,0.0014634,0.000286671,0.00102904
5.90787,0.000478295,0.00100193,0.973422,0.00172583,0.596434,0.00146411,0.000291842,0.00102945
5.91259,0.000484474,0.00100235,0.973573,0.001725,0.596594,0.00146512,0.000297267,0.00102986
5.9173,0.000490645,0.00100277,0.973723,0.0017243,0.596782,0.00146645,0.000302949,0.00103027
5.92202,0.000496807,0.0010032,0.973872,0.00172374,0.596995,0.0014681,0.000308895,0.00103069
5.92675,0.000502959,0.00100362,0.974019,0.0017233,0.597228,0.00147006,0.000315108,0.0010311
5.93148,0.000509101,0.00100405,0.974164,0.00172298,0.597479,0.00147234,0.000321594,0.00103152
5.93621,0.00051523,0.00100447,0.974306,0.00172276,0.597743,0.00147492,0.000328358,0.00103194
5.94094,0.000521347,0.0010049,0.974446,0.00172264,0.598018,0.00147781,0.000335404,0.00103236
5.94568,0.000527451,0.00100532,0.974583,0.00172259,0.598299,0.00148101,0.000342737,0.00103278
5.95042,0.000533541,0.00100575,0.974716,0.0017226,0.598584,0.0014845,0.000350363,0.0010332
5.95517,0.000539615,0.00100617,0.974846,0.00172267,0.598869,0.00148828,0.000358286,0.00103362
5.95992,0.000545674,0.0010066,0.974972,0.00172277,0.599149,0.00149233,0.00036651,0.00103405
5.96468,0.000551715,0.00100702,0.975094,0.00172288,0.599423,0.00149664,0.000375032,0.00103447
5.96943,0.000557739,0.00100745,0.975211,0.00172301,0.599686,0.00150119,0.000383846,0.0010349
5.9742,0.000563745,0.00100788,0.975323,0.00172312,0.599934,0.00150599,0.000392945,0.00103533
5.97896,0.000569731,0.0010083,0.97543,0.00172322,0.600165,0.001511,0.000402321,0.00103576
5.98373,0.000575696,0.00100873,0.975532,0.00172328,0.600374,0.00151622,0.000411968,0.00103619
5.9885,0.000581641,0.00100915,0.975628,0.00172328,0.600559,0.00152163,0.000421879,0.00103662
5.99328,0.000587563,0.00100958,0.975717,0.00172314,0.600715,0.00152726,0.000432047,0.00103706
5.99806,0.000593463,0.0010101,0.975801,0.00172077,0.600839,0.00153384,0.000442465,0.00103756
6.00285,0.000599339,0.00101061,0.975877,0.00171833,0.600929,0.00154058,0.000453126,0.00103807
6.00763,0.00060519,0.00101112,0.975947,0.0017163,0.600983,0.0015451,0.000464023,0.00103856
6.01243,0.000611015,0.00101164,0.97601,0.00171495,0.601002,0.001546,0.00047515,0.00103905
6.01722,0.000616815,0.00101216,0.976068,0.00171349,0.600989,0.00154683,0.0004865,0.00103954
6.02202,0.000622587,0.00101268,0.976119,0.00171193,0.600946,0.0015476,0.000498065,0.00104003
6.02683,0.000628331,0.0010132,0.976165,0.00171029,0.600873,0.00154832,0.000509839,0.00104052
6.03163,0.000634046,0.00101372,0.976206,0.0017086,0.600773,0.00154898,0.000521814,0.00104101
6.03645,0.000639731,0.00101424,0.976242,0.00170687,0.600646,0.00154963,0.000533985,0.00104151
6.04126,0.000645385,0.00101477,0.976274,0.00170512,0.600496,0.00155023,0.000546344,0.001042
6.04608,0.000651008,0.00101529,0.976301,0.00170336,0.600323,0.00155082,0.000558883,0.00104249
6.0509,0.000656599,0.00101581,0.976324,0.00170163,0.600129,0.00155141,0.000571597,0.00104298
6.05573,0.000662156,0.00101634,0.976344,0.00169992,0.599915,0.00155199,0.000584479,0.00104348
6.06056,0.000667679,0.00101687,0.97636,0.00169826,0.599684,0.00155258,0.00059752,0.00104397
6.0654,0.000673167,0.0010174,0.976373,0.00169667,0.599437,0.00155319,0.000610716,0.00104447
6.07023,0.000678619,0.00101793,0.976384,0.00169515,0.599176,0.00155382,0.000624058,0.00104497
6.07508,0.000684035,0.00101846,0.976392,0.00169372,0.598902,0.00155448,0.00063754,0.00104546
6.07992,0.000689412,0.00101899,0.976398,0.00169239,0.598616,0.00155518,0.000651154,0.00104596
6.08477,0.000694751,0.00101952,0.976402,0.00169117,0.598321,0.00155592,0.000664895,0.00104646
6.08963,0.000700051,0.00102006,0.976404,0.00169006,0.598019,0.00155671,0.000678754,0.00104696
6.09448,0.000705311,0.0010207,0.976405,0.00169179,0.59771,0.00156022,0.000692726,0.00104759
6.09935,0.00071053,0.00102136,0.976406,0.00169373,0.597397,0.00156387,0.000706803,0.00104823
6.10421,0.000715706,0.00102202,0.976405,0.00169581,0.59708,0.00156759,0.000720978,0.00104887
6.10908,0.00072084,0.00102268,0.976405,0.00169801,0.596763,0.00157138,0.000735245,0.00104951
6.11395,0.00072593,0.00102335,0.976404,0.00170034,0.596446,0.00157522,0.000749596,0.00105016
6.11883,0.000730975,0.00102402,0.976404,0.00170279,0.596131,0.00157912,0.000764026,0.00105082
6.12371,0.000735976,0.0010247,0.976404,0.00170535,0.595819,0.00158309,0.000778525,0.00105148
6.1286,0.000740929,0.00102538,0.976405,0.00170801,0.595513,0.00158711,0.000793089,0.00105214
6.13349,0.000745836,0.00102606,0.976407,0.00171076,0.595214,0.00159118,0.00080771,0.00105281
6.13838,0.000750695,0.00102675,0.976411,0.0017136,0.594923,0.00159528,0.00082238,0.00105348
6.14327,0.000755504,0.00102744,0.976417,0.0017165,0.594643,0.00159943,0.000837094,0.00105416
6.14818,0.000760264,0.00102814,0.976424,0.00171945,0.594375,0.00160361,0.000851845,0.00105484
6.15308,0.000764973,0.00102884,0.976435,0.00172244,0.59412,0.00160781,0.000866624,0.00105553
6.15799,0.000769631,0.00102955,0.976447,0.00172545,0.59388,0.00161203,0.000881426,0.00105622
6.1629,0.000774237,0.00103026,0.976463,0.00172847,0.593657,0.00161625,0.000896244,0.00105691
6.16782,0.000778789,0.00103097,0.976482,0.00173148,0.593452,0.00162047,0.00091107,0.00105761
6.17274,0.000783287,0.00103169,0.976505,0.00173447,0.593268,0.00162468,0.000925898,0.00105831
6.17766,0.00078773,0.00103241,0.976532,0.00173742,0.593105,0.00162887,0.000940721,0.00105902
6.18259,0.000792118,0.00103313,0.976563,0.00174031,0.592966,0.00163304,0.000955532,0.00105973
6.18752,0.000796448,0.00103386,0.976598,0.00174314,0.592852,0.00163717,0.000970324,0.00106045
6.19246,0.000800722,0.00103414,0.976638,0.00174777,0.592764,0.0016416,0.000985091,0.00106072
6.1974,0.000804936,0.0010344,0.976684,0.00175382,0.592704,0.00166568,0.000999824,0.00106094
6.20234,0.000809092,0.00103466,0.976734,0.00176001,0.592675,0.00169428,0.00101452,0.00106115
6.20729,0.000813187,0.00103492,0.976791,0.00176622,0.592676,0.00172523,0.00102917,0.00106138
6.21224,0.000817221,0.00103519,0.976852,0.00177245,0.592708,0.00175835,0.00104376,0.0010616
6.21719,0.000821193,0.00103546,0.976919,0.0017787,0.592771,0.00179351,0.00105829,0.00106183
6.22215,0.000825103,0.00103573,0.97699,0.00178501,0.592864,0.00183068,0.00107276,0.00106206
6.22712,0.000828949,0.001036,0.977065,0.00179139,0.592988,0.00186975,0.00108715,0.0010623
6.23208,0.00083273,0.00103628,0.977145,0.00179783,0.593142,0.00191046,0.00110146,0.00106253
6.23706,0.000836446,0.00103656,0.977229,0.00180439,0.593326,0.00195294,0.00111569,0.00106278
6.24203,0.000840096,0.00103683,0.977317,0.00181105,0.593541,0.00199686,0.00112982,0.00106302
6.24701,0.000843679,0.00103712,0.977408,0.00181784,0.593787,0.00204228,0.00114384,0.00106327
6.25199,0.000847194,0.0010374,0.977503,0.00182477,0.594062,0.00208903,0.00115776,0.00106352
6.25698,0.00085064,0.00103769,0.9776,0.00183187,0.594367,0.00213713,0.00117157,0.00106377
6.26197,0.000854016,0.00103798,0.977701,0.00183912,0.594703,0.00218639,0.00118525,0.00106403
6.26697,0.000857322,0.00103827,0.977803,0.00184655,0.595069,0.00223683,0.0011988,0.00106429
6.27197,0.000860556,0.00103856,0.977908,0.00185416,0.595464,0.0022883,0.00121221,0.00106455
6.27697,0.000863718,0.00103885,0.978016,0.00186197,0.59589,0.00234072,0.00122549,0.00106482
6.28198,0.000866807,0.00103915,0.978125,0.00186997,0.596345,0.00239413,0.00123861,0.00106509
6.28699,0.000869824,0.00103945,0.978235,0.00187816,0.59683,0.00244837,0.00125157,0.00106536
6.292,0.000872767,0.00104,0.978347,0.00189043,0.597345,0.00251139,0.00126438,0.00106589
6.29702,0.000875638,0.0010406,0.97846,0.0019038,0.597889,0.00257684,0.00127701,0.00106648
6.30205,0.000878437,0.00104121,0.978573,0.00191671,0.598463,0.00264833,0.00128946,0.00106707
6.30707,0.000881165,0.00104182,0.978688,0.00192649,0.599066,0.00274749,0.00130173,0.00106765
6.3121,0.000883822,0.00104243,0.978802,0.00193641,0.599699,0.00284796,0.00131381,0.00106823
6.31714,0.000886407,0.00104305,0.978917,0.00194646,0.600362,0.00294961,0.00132569,0.00106882
6.32218,0.000888923,0.00104366,0.979031,0.00195663,0.601053,0.00305216,0.00133736,0.0010694
6.32722,0.000891368,0.00104428,0.979145,0.00196691,0.601774,0.0031555,0.00134882,0.00106999
6.33227,0.000893743,0.0010449,0.979258,0.0019773,0.602524,0.00325975,0.00136007,0.00107059
6.33732,0.00089605,0.00104552,0.979371,0.00198776,0.603303,0.00336463,0.00137108,0.00107118
6.34238,0.000898287,0.00104614,0.979482,0.00199829,0.604111,0.00347026,0.00138187,0.00107178
6.34743,0.000900455,0.00104677,0.979592,0.00200889,0.604949,0.00357621,0.00139241,0.00107238
