wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss,u_common_sw,u_wavelength_sw,u_session_avg_sw,u_total_sw,u_common_to,u_wavelength_to,u_session_avg_to,u_total_to,u_common_lw,u_wavelength_lw,u_session_avg_lw,u_total_lw,u_common_ss,u_wavelength_ss,u_session_avg_ss,u_total_ss
0.311839,0.00871544,0.000159228,7.9241e-05,0.00013811,0.0121686,0.000149129,0.000143545,4.04263e-05,6.28793e-06,2.7809e-05,8.04429e-06,2.66201e-05,1.51735e-05,1.34345e-05,7.30076e-06,1.12777e-05,0.000505589,0.000115392,0.000610047,0.000816362,0.000557943,0.00011171,0.000610047,0.000847453,0.000420463,0.000111686,0.000610047,0.000749795,0.000558982,0.000111686,0.000610047,0.000835029
0.312087,0.0086895,0.000157881,7.60097e-05,0.00013838,0.0122444,0.00016263,0.000157501,4.05214e-05,6.3731e-06,2.77588e-05,7.97305e-06,2.65891e-05,1.50176e-05,1.33005e-05,7.25655e-06,1.11466e-05,0.000505589,0.000115091,0.000602358,0.000810326,0.000557943,0.000111405,0.000602358,0.00084439,0.000420463,0.000111381,0.000602358,0.000743506,0.000558982,0.000111381,0.000602358,0.000829385
0.312336,0.00866685,0.000156591,7.27808e-05,0.00013865,0.0123074,0.000174147,0.000169345,4.06166e-05,6.45771e-06,2.77088e-05,7.90224e-06,2.65581e-05,1.48624e-05,1.31665e-05,7.21225e-06,1.10154e-05,0.000505589,0.00011479,0.000594645,0.000804313,0.000557943,0.000111099,0.000594645,0.000841173,0.000420463,0.000111075,0.000594645,0.000737222,0.000558982,0.000111075,0.000594645,0.000823756
0.312585,0.00864797,0.000155398,6.96401e-05,0.00013892,0.0123538,0.000182667,0.000178072,4.07118e-05,6.54175e-06,2.76591e-05,7.83187e-06,2.65271e-05,1.47081e-05,1.30324e-05,7.16786e-06,1.08841e-05,0.000505589,0.000114488,0.000586937,0.000798356,0.000557943,0.000110794,0.000586937,0.000837519,0.000420463,0.000110769,0.000586937,0.000730971,0.000558982,0.000110769,0.000586937,0.000818167
0.312835,0.00863335,0.000154331,6.66632e-05,0.000139191,0.0123796,0.000187292,0.000182792,4.08072e-05,6.62523e-06,2.76096e-05,7.76193e-06,2.64961e-05,1.45547e-05,1.28982e-05,7.12338e-06,1.07528e-05,0.000505589,0.000114187,0.000579205,0.000792437,0.000557943,0.000110487,0.000579205,0.000833106,0.000420463,0.000110462,0.000579205,0.000724729,0.000558982,0.000110462,0.000579205,0.000812594
0.313084,0.00862349,0.000153408,6.39097e-05,0.000139461,0.0123824,0.000187574,0.00018306,4.09026e-05,6.70815e-06,2.75603e-05,7.69243e-06,2.6465e-05,1.4402e-05,1.27641e-05,7.0788e-06,1.06213e-05,0.000505589,0.000113886,0.00057151,0.000786606,0.000557943,0.000110183,0.00057151,0.000827797,0.000420463,0.000110157,0.00057151,0.000718545,0.000558982,0.000110157,0.00057151,0.000807083
0.313334,0.00861885,0.000152635,6.14192e-05,0.000139732,0.0123644,0.000183974,0.000179348,4.09981e-05,6.7905e-06,2.75113e-05,7.62337e-06,2.64339e-05,1.42501e-05,1.26298e-05,7.03412e-06,1.04897e-05,0.000505589,0.000113585,0.000563791,0.00078082,0.000557943,0.000109877,0.000563791,0.000821632,0.000420463,0.000109852,0.000563791,0.000712371,0.000558982,0.000109852,0.000563791,0.000801591
0.313584,0.00861994,0.000152008,5.92068e-05,0.000140004,0.0123283,0.000177093,0.000172259,4.10937e-05,6.87227e-06,2.74624e-05,7.55476e-06,2.64028e-05,1.40991e-05,1.24956e-05,6.98933e-06,1.0358e-05,0.000505589,0.000113285,0.000556077,0.000775101,0.000557943,0.000109572,0.000556077,0.000814794,0.000420463,0.000109546,0.000556077,0.000706233,0.000558982,0.000109546,0.000556077,0.00079614
0.313834,0.00862723,0.000151512,5.72612e-05,0.000140275,0.0122768,0.000167491,0.000162347,4.11893e-05,6.95348e-06,2.74138e-05,7.48658e-06,2.63717e-05,1.39489e-05,1.23613e-05,6.94445e-06,1.02262e-05,0.000505589,0.000112984,0.00054837,0.000769449,0.000557943,0.000109267,0.00054837,0.000807466,0.000420463,0.000109242,0.00054837,0.000700131,0.000558982,0.000109242,0.00054837,0.000790732
0.314084,0.00864122,0.000151125,5.55465e-05,0.000140547,0.0122127,0.00015566,0.000150085,4.12851e-05,7.03412e-06,2.73654e-05,7.41885e-06,2.63405e-05,1.37995e-05,1.22269e-05,6.89945e-06,1.00943e-05,0.000505589,0.000112685,0.000540668,0.000763858,0.000557943,0.000108963,0.000540668,0.000799828,0.000420463,0.000108937,0.000540668,0.000694066,0.000558982,0.000108937,0.000540668,0.000785366
0.314335,0.00866239,0.00015082,5.40068e-05,0.000140818,0.0121387,0.000142007,0.000135844,4.13809e-05,7.11418e-06,2.73172e-05,7.35157e-06,2.63094e-05,1.3651e-05,1.20925e-05,6.85435e-06,9.9623e-06,0.000505589,0.000112384,0.000532942,0.000758304,0.000557943,0.000108658,0.000532942,0.000792023,0.000420463,0.000108632,0.000532942,0.000688014,0.000558982,0.000108632,0.000532942,0.000780023
0.314586,0.00869122,0.000150568,5.25753e-05,0.00014109,0.0120577,0.000126863,0.000119891,4.14768e-05,7.19366e-06,2.72692e-05,7.28473e-06,2.62782e-05,1.35033e-05,1.19581e-05,6.80914e-06,9.83019e-06,0.000505589,0.000112084,0.000525223,0.000752803,0.000557943,0.000108353,0.000525223,0.000784215,0.000420463,0.000108327,0.000525223,0.000682002,0.000558982,0.000108327,0.000525223,0.000774725
0.314837,0.0087282,0.000150345,5.11867e-05,0.000141363,0.0119722,0.000110555,0.000102441,4.15727e-05,7.27256e-06,2.72214e-05,7.21835e-06,2.62469e-05,1.33564e-05,1.18237e-05,6.76382e-06,9.69797e-06,0.000505589,0.000111784,0.000517509,0.000747352,0.000557943,0.000108049,0.000517509,0.000776539,0.000420463,0.000108022,0.000517509,0.000676029,0.000558982,0.000108022,0.000517509,0.000769471
0.315088,0.00877381,0.000150128,4.97936e-05,0.00014163,0.0118852,9.36192e-05,8.38383e-05,4.16616e-05,7.35088e-06,2.71572e-05,7.15241e-06,2.61984e-05,1.32104e-05,1.16979e-05,6.71839e-06,9.5762e-06,0.000505589,0.000111485,0.000509802,0.000741947,0.000557943,0.000107745,0.000509802,0.000769137,0.000420463,0.000107718,0.000509802,0.000670095,0.000558982,0.000107718,0.000509802,0.000764264
0.315339,0.00882755,0.000149877,4.84166e-05,0.000141841,0.0117992,7.74121e-05,6.52383e-05,4.16725e-05,7.42862e-06,2.69128e-05,7.08694e-06,2.59629e-05,1.30652e-05,1.16658e-05,6.67286e-06,9.56893e-06,0.000505589,0.000111187,0.000502101,0.000736581,0.000557943,0.000107441,0.000502101,0.000762195,0.000420463,0.000107415,0.000502101,0.000664196,0.000558982,0.000107415,0.000502101,0.000759105
0.315591,0.00888755,0.00014968,4.71704e-05,0.000142053,0.0117161,6.58071e-05,5.09221e-05,4.16834e-05,7.50578e-06,2.66682e-05,7.02191e-06,2.57271e-05,1.29209e-05,1.16338e-05,6.62721e-06,9.56165e-06,0.000505589,0.000110887,0.000494375,0.00073125,0.000557943,0.000107137,0.000494375,0.000755987,0.000420463,0.00010711,0.000494375,0.000658316,0.000558982,0.00010711,0.000494375,0.000753973
0.315843,0.00895182,0.000149582,4.62122e-05,0.000142265,0.0116373,6.45909e-05,4.93311e-05,4.16944e-05,7.58234e-06,2.64236e-05,6.95734e-06,2.54912e-05,1.27775e-05,1.16018e-05,6.58146e-06,9.55437e-06,0.000505589,0.000110588,0.000486841,0.000726112,0.000557943,0.000106838,0.000486841,0.000750934,0.000420463,0.000106811,0.000486841,0.000652618,0.000558982,0.000106811,0.000486841,0.000749012
0.316094,0.00901835,0.000149632,4.57183e-05,0.000142477,0.0115642,7.57241e-05,6.32045e-05,4.17053e-05,7.65832e-06,2.61789e-05,6.89324e-06,2.52551e-05,1.26349e-05,1.15698e-05,6.5356e-06,9.54708e-06,0.000505589,0.000110287,0.000481903,0.000722775,0.000557943,0.00010661,0.000481903,0.000748753,0.000420463,0.000106583,0.000481903,0.000648895,0.000558982,0.000106583,0.000481903,0.000745778
0.316347,0.00908515,0.000149876,4.58559e-05,0.000142689,0.0114981,9.4869e-05,8.52049e-05,4.17163e-05,7.73371e-06,2.59342e-05,6.82959e-06,2.50188e-05,1.24932e-05,1.15379e-05,6.48963e-06,9.53979e-06,0.000505589,0.000109986,0.000476929,0.000719473,0.000557943,0.000106379,0.000476929,0.000747715,0.000420463,0.000106353,0.000476929,0.000645162,0.000558982,0.000106353,0.000476929,0.000742541
0.316599,0.00915023,0.000150354,4.67515e-05,0.000142901,0.0114404,0.000117034,0.000109342,4.17272e-05,7.80851e-06,2.56894e-05,6.7664e-06,2.47823e-05,1.23524e-05,1.1506e-05,6.44356e-06,9.53249e-06,0.000505589,0.000109686,0.000471979,0.000716255,0.000557943,0.00010615,0.000471979,0.000747682,0.000420463,0.000106124,0.000471979,0.000641463,0.000558982,0.000106124,0.000471979,0.000739338
0.316852,0.00921158,0.000151097,4.8463e-05,0.000143114,0.0113925,0.000138956,0.000132539,4.17382e-05,7.88271e-06,2.54446e-05,6.70368e-06,2.45456e-05,1.22125e-05,1.14741e-05,6.39739e-06,9.52519e-06,0.000505589,0.000109386,0.000467013,0.000713104,0.000557943,0.000105921,0.000467013,0.000748284,0.000420463,0.000105895,0.000467013,0.000637771,0.000558982,0.000105895,0.000467013,0.000736144
0.317104,0.00926721,0.00015212,5.097e-05,0.000143326,0.0113557,0.000158512,0.000152915,4.17492e-05,7.95631e-06,2.51996e-05,6.64142e-06,2.43087e-05,1.20734e-05,1.14423e-05,6.35112e-06,9.51787e-06,0.000505589,0.000109088,0.000462071,0.00071005,0.000557943,0.000105692,0.000462071,0.00074907,0.000420463,0.000105667,0.000462071,0.000634113,0.000558982,0.000105667,0.000462071,0.000732985
0.317357,0.00931512,0.000153425,5.41833e-05,0.000143539,0.0113315,0.000174154,0.000169073,4.17602e-05,8.02932e-06,2.49547e-05,6.57963e-06,2.40717e-05,1.19352e-05,1.14105e-05,6.30475e-06,9.51056e-06,0.000505589,0.000108789,0.000457113,0.000707069,0.000557943,0.000105463,0.000457113,0.000749469,0.000420463,0.000105438,0.000457113,0.000630461,0.000558982,0.000105438,0.000457113,0.000729836
0.31761,0.00935332,0.000155,5.79677e-05,0.000143752,0.0113211,0.000184689,0.000179903,4.17712e-05,8.10172e-06,2.47096e-05,6.51831e-06,2.38344e-05,1.17979e-05,1.13788e-05,6.25828e-06,9.50324e-06,0.000505589,0.000108492,0.000452159,0.000704176,0.000557943,0.000105234,0.000452159,0.000748954,0.000420463,0.00010521,0.000452159,0.00062683,0.000558982,0.00010521,0.000452159,0.00072671
0.317864,0.00937981,0.000156814,6.21652e-05,0.000143965,0.0113237,0.000189751,0.000185093,4.17822e-05,8.17353e-06,2.44646e-05,6.45745e-06,2.3597e-05,1.16615e-05,1.13471e-05,6.21172e-06,9.49591e-06,0.000505589,0.000108194,0.000447189,0.000701353,0.000557943,0.000105005,0.000447189,0.000747201,0.000420463,0.000104981,0.000447189,0.000623207,0.000558982,0.000104981,0.000447189,0.000723595
0.318117,0.0093926,0.000158823,6.66133e-05,0.000144179,0.0113331,0.00019038,0.000185736,4.17932e-05,8.24472e-06,2.42194e-05,6.39707e-06,2.33593e-05,1.1526e-05,1.13155e-05,6.16507e-06,9.48857e-06,0.000505589,0.000107899,0.000442243,0.000698618,0.000557943,0.000104777,0.000442243,0.00074438,0.000420463,0.000104753,0.000442243,0.000619619,0.000558982,0.000104753,0.000442243,0.000720515
0.318371,0.00938968,0.000160972,7.11547e-05,0.000144392,0.0113421,0.000187789,0.000183077,4.18042e-05,8.31532e-06,2.39742e-05,6.33716e-06,2.31215e-05,1.13914e-05,1.1284e-05,6.11834e-06,9.48123e-06,0.000505589,0.000107603,0.000437282,0.000695936,0.000557943,0.000104548,0.000437282,0.00074075,0.000420463,0.000104525,0.000437282,0.000616039,0.000558982,0.000104525,0.000437282,0.000717447
0.318625,0.00936906,0.000163195,7.56423e-05,0.000144606,0.0113436,0.000183073,0.000178234,4.18152e-05,8.3853e-06,2.3729e-05,6.27773e-06,2.28835e-05,1.12577e-05,1.12525e-05,6.07152e-06,9.47389e-06,0.000505589,0.000107308,0.000432324,0.000693305,0.000557943,0.00010432,0.000432324,0.000736616,0.000420463,0.000104297,0.000432324,0.000612482,0.000558982,0.000104297,0.000432324,0.000714402
0.318879,0.00932875,0.000165418,7.99399e-05,0.000144819,0.0113307,0.000177109,0.0001721,4.18263e-05,8.45468e-06,2.34837e-05,6.21877e-06,2.26453e-05,1.1125e-05,1.1221e-05,6.02463e-06,9.46654e-06,0.000505589,0.000107014,0.000427371,0.000690711,0.000557943,0.000104092,0.000427371,0.000732222,0.000420463,0.000104069,0.000427371,0.000608947,0.000558982,0.000104069,0.000427371,0.000711381
0.319134,0.00926674,0.000167564,8.39221e-05,0.000145033,0.0112961,0.000170473,0.000165259,4.18373e-05,8.52344e-06,2.32383e-05,6.16029e-06,2.24069e-05,1.09931e-05,1.11897e-05,5.97766e-06,9.45918e-06,0.000505589,0.00010672,0.000422402,0.000688121,0.000557943,0.000103863,0.000422402,0.000727717,0.000420463,0.000103841,0.000422402,0.000605421,0.000558982,0.000103841,0.000422402,0.000708373
0.319388,0.00918105,0.000169554,8.74739e-05,0.000145248,0.0112329,0.000163393,0.000157943,4.18484e-05,8.59159e-06,2.29929e-05,6.10229e-06,2.21683e-05,1.08622e-05,1.11584e-05,5.93062e-06,9.45181e-06,0.000505589,0.000106428,0.000417456,0.00068554,0.000557943,0.000103636,0.000417456,0.000723192,0.000420463,0.000103613,0.000417456,0.000601933,0.000558982,0.000103613,0.000417456,0.000705401
0.319643,0.00906967,0.000171311,9.04896e-05,0.000145462,0.011134,0.00015579,0.000150061,4.18594e-05,8.65912e-06,2.27474e-05,6.04476e-06,2.19295e-05,1.07322e-05,1.11271e-05,5.88352e-06,9.44445e-06,0.000505589,0.000106136,0.000412495,0.000682924,0.000557943,0.000103408,0.000412495,0.000718621,0.000420463,0.000103386,0.000412495,0.000598454,0.000558982,0.000103386,0.000412495,0.000702443
0.319898,0.00893061,0.000172763,9.2873e-05,0.000145676,0.0109922,0.000147449,0.00014138,4.18705e-05,8.72603e-06,2.25019e-05,5.98772e-06,2.16906e-05,1.06031e-05,1.1096e-05,5.83636e-06,9.43707e-06,0.000505589,0.000105845,0.000407538,0.000680263,0.000557943,0.00010318,0.000407538,0.000713985,0.000420463,0.000103158,0.000407538,0.000594999,0.000558982,0.000103158,0.000407538,0.000699509
0.320153,0.00876205,0.000173853,9.45428e-05,0.000145898,0.010801,0.000138413,0.000131923,4.18851e-05,8.79233e-06,2.22572e-05,5.93116e-06,2.14523e-05,1.04749e-05,1.1065e-05,5.78914e-06,9.42972e-06,0.000505589,0.000105554,0.000402585,0.000677541,0.000557943,0.000102952,0.000402585,0.000709318,0.000420463,0.000102931,0.000402585,0.000591569,0.000558982,0.000102931,0.000402585,0.000696601
0.320408,0.0085647,0.000175319,9.54983e-05,0.000147027,0.0105605,0.00013015,0.000123072,4.23346e-05,8.858e-06,2.21193e-05,5.87509e-06,2.13247e-05,1.03477e-05,1.10369e-05,5.74188e-06,9.42569e-06,0.000505589,0.000105265,0.000397635,0.000674946,0.000557943,0.000102725,0.000397635,0.000704915,0.000420463,0.000102704,0.000397635,0.000588167,0.000558982,0.000102704,0.000397635,0.000693718
