wavelength_um,lst,u_random_lst
0.302049,0.0102071,0.000164747
0.30229,0.0102449,0.000164693
0.302531,0.0102826,0.000164644
0.302773,0.0103199,0.0001646
0.303014,0.0103568,0.000164561
0.303256,0.0103931,0.000164527
0.303498,0.0104288,0.000164496
0.30374,0.0104636,0.000164469
0.303982,0.0104976,0.000164444
0.304225,0.0105305,0.000164423
0.304467,0.0105623,0.000164403
0.30471,0.0105928,0.000164386
0.304953,0.010622,0.00016437
0.305197,0.0106497,0.000164353
0.30544,0.0106758,0.000164331
0.305684,0.0107002,0.00016431
0.305928,0.0107228,0.000164288
0.306172,0.0107435,0.000164267
0.306416,0.010762,0.000164247
0.30666,0.0107785,0.000164226
0.306905,0.0107926,0.000164205
0.30715,0.0108044,0.000164183
0.307395,0.0108136,0.000164162
0.30764,0.0108202,0.000164142
0.307885,0.0108241,0.000164121
0.308131,0.0108251,0.000164102
0.308377,0.0108231,0.000164084
0.308623,0.0108181,0.000164068
0.308869,0.0108099,0.000164054
0.309115,0.0107983,0.000164044
0.309362,0.0107833,0.000164038
0.309609,0.0107648,0.000164037
0.309856,0.0107426,0.000164042
0.310103,0.0107166,0.000164104
0.31035,0.0106868,0.000164425
0.310598,0.010653,0.000164758
0.310846,0.010615,0.000165103
0.311093,0.0105728,0.000165463
0.311342,0.0105262,0.00016584
0.31159,0.0104752,0.000166235
0.311839,0.0104196,0.000166652
0.312087,0.0103594,0.000167093
0.312336,0.0102944,0.00016756
0.312585,0.0102248,0.000168056
0.312835,0.0101509,0.000168582
0.313084,0.0100726,0.00016914
0.313334,0.00999022,0.000169731
0.313584,0.00990384,0.000170356
0.313834,0.00981361,0.000171014
0.314084,0.00971967,0.000171706
0.314335,0.00962218,0.00017243
0.314586,0.00952127,0.000173186
0.314837,0.00941709,0.000173971
0.315088,0.00930979,0.000174761
0.315339,0.0091995,0.000175322
0.315591,0.00908638,0.000175907
0.315843,0.00897057,0.000176512
0.316094,0.00885221,0.000177134
0.316347,0.00873145,0.000177767
0.316599,0.00860843,0.000178409
0.316852,0.0084833,0.000179053
0.317104,0.0083562,0.000179696
0.317357,0.00822728,0.000180332
0.31761,0.00809668,0.000180954
0.317864,0.00796454,0.000181559
0.318117,0.00783101,0.00018214
0.318371,0.00769623,0.000182691
0.318625,0.00756036,0.000183206
0.318879,0.00742352,0.00018368
0.319134,0.00728588,0.000184107
0.319388,0.00714757,0.000184481
0.319643,0.00700873,0.000184797
0.319898,0.00686952,0.00018505
0.320153,0.00673007,0.00018523
0.320408,0.00659053,0.00018469
0.320664,0.00645105,0.000184073
0.32092,0.00631176,0.000183375
0.321176,0.00617282,0.000182591
0.321432,0.00603437,0.000181718
0.321688,0.00589655,0.000180752
0.321945,0.00575951,0.000179692
0.322202,0.0056234,0.000178536
0.322459,0.00548835,0.000177284
0.322716,0.00535451,0.000175936
0.322974,0.00522202,0.000174495
0.323231,0.00509104,0.000172965
0.323489,0.0049617,0.00017135
0.323747,0.00483416,0.000169658
0.324005,0.00470854,0.000167899
0.324264,0.00458501,0.000166084
0.324522,0.0044637,0.000164229
0.324781,0.00434475,0.000162352
0.32504,0.00422832,0.000160476
0.3253,0.00411455,0.000158624
0.325559,0.00400357,0.000157502
0.325819,0.00389555,0.000156531
0.326079,0.00379061,0.000155698
0.326339,0.00368891,0.000155049
0.326599,0.00359059,0.000154629
0.32686,0.00349579,0.000154491
0.327121,0.0034047,0.000154688
0.327381,0.00331867,0.000155276
0.327643,0.00324029,0.000156299
0.327904,0.00317226,0.000157793
0.328166,0.00311724,0.000159778
0.328427,0.00307792,0.000162261
0.328689,0.00305697,0.000165237
0.328952,0.00305708,0.000168686
0.329214,0.00308092,0.000172577
0.329477,0.00313116,0.000176872
0.329739,0.00321049,0.000181523
0.330002,0.00332158,0.000186478
0.330266,0.00346711,0.000191685
0.330529,0.00364977,0.000197086
0.330793,0.00387222,0.000202624
0.331057,0.00413715,0.000208249
0.331321,0.00444723,0.000213911
0.331585,0.00480514,0.000219565
0.33185,0.00521356,0.000225167
0.332114,0.00567517,0.000230684
0.332379,0.00619264,0.000236084
0.332644,0.00676866,0.000241344
