wavelength_um,radiance_w_m2_sr_um
0.26961,0.0438068
0.26969,0.0443501
0.26976,0.0721323
0.26983,0.0403471
0.26991,0.0694153
0.26998,0.0388137
0.27005,0.131909
0.27012,0.0818381
0.2702,0.0600509
0.27027,0.0565686
0.27034,0.0658916
0.27042,0.0738674
0.27049,0.0330487
0.27056,0.0777963
0.27064,0.0420064
0.27071,0.0501161
0.27078,0.0833286
0.27086,0.0713595
0.27093,0.0504366
0.271,0.0788415
0.27108,0.0258137
0.27115,0.0512089
0.27122,0.0403125
0.2713,0.0695835
0.27137,0.11674
0.27144,0.0530228
0.27152,0.00895689
0.27159,0.0472715
0.27167,0.069474
0.27174,0.0298161
0.27181,0.0235461
0.27189,0.0380755
0.27196,0.0083133
0.27203,0.0164648
0.27211,0.0220883
0.27218,0.0102225
0.27226,0.0415795
0.27233,0.0360702
0.27241,0.0477716
0.27248,0.046574
0.27255,0.0325469
0.27263,0.0380373
0.2727,0.0412061
0.27278,0.0469755
0.27285,0.0166158
0.27293,0.0255589
0.273,0.0921051
0.27307,0.0724782
0.27315,0.020749
0.27322,0.0729519
0.2733,0.0722813
0.27337,0.0656206
0.27345,0.0171488
0.27352,0.0408203
0.2736,0.040385
0.27367,0.0478815
0.27375,0.0163199
0.27382,0.0109962
0.2739,0.0322829
0.27397,0.0259567
0.27405,0.00678358
0.27412,0.0335233
0.2742,0.0420306
0.27427,0.0271881
0.27435,0.0129823
0.27442,0.00971817
0.2745,0.0179601
0.27457,0.0416574
0.27465,0.030972
0.27473,0.00785317
0.2748,0.0113558
0.27488,0.0350203
0.27495,0.0224346
0.27503,0.00475215
0.2751,0.0112319
0.27518,0.0306996
0.27525,0.0371727
0.27533,0.0786449
0.27541,0.040465
0.27548,0.0280778
0.27556,0.0312761
0.27563,0.0101594
0.27571,0.011007
0.27579,0.0334328
0.27586,0.0496316
0.27594,0.0887424
0.27601,0.0417752
0.27609,0.0641844
0.27617,0.0739558
0.27624,0.031045
0.27632,0.0288058
0.2764,0.0750462
0.27647,0.0791607
0.27655,0.0950616
0.27663,0.0676923
0.2767,0.0408018
0.27678,0.0680289
0.27685,0.0580187
0.27693,0.0450931
0.27701,0.0207377
0.27709,0.0751639
0.27716,0.0799308
0.27724,0.0674638
0.27732,0.0536717
0.27739,0.0844783
0.27747,0.0887042
0.27755,0.0814108
0.27762,0.079805
0.2777,0.0531619
0.27778,0.0459204
0.27785,0.0469672
0.27793,0.0283099
0.27801,0.0331558
0.27809,0.0187796
0.27816,0.0332106
0.27824,0.0240863
0.27832,0.0358318
0.2784,0.0267294
0.27847,0.0315028
0.27855,0.0473179
0.27863,0.0485943
0.27871,0.0384543
0.27878,0.0365487
0.27886,0.0239999
0.27894,0.0326691
0.27902,0.0304577
0.2791,0.0238944
0.27917,0.0173938
0.27925,0.0158988
0.27933,0.0144902
0.27941,0.0125584
0.27949,0.00751191
0.27956,0.00313446
0.27964,0.000964366
0.27972,0.0048638
0.2798,0.00899141
0.27988,0.00763345
0.27996,0.01258
0.28003,0.0144714
0.28011,0.0156803
0.28019,0.00980913
0.28027,0.00702204
0.28035,0.0014016
0.28043,0.00614158
0.2805,0.0110589
0.28058,0.0152416
0.28066,0.0188295
0.28074,0.0207626
0.28082,0.0281271
0.2809,0.0286117
0.28098,0.0418431
0.28106,0.04387
0.28114,0.0456429
0.28121,0.041504
0.28129,0.0371581
0.28137,0.0470916
0.28145,0.0480369
0.28153,0.077909
0.28161,0.0605983
0.28169,0.0890002
0.28177,0.101918
0.28185,0.0720876
0.28193,0.0799137
0.28201,0.0734204
0.28209,0.131637
0.28217,0.098022
0.28225,0.0815062
