filename,int_sphere,ap_dia_mm,driver,alignment_session,measurement_campaign,beam_dither,filter,spectrum_filename,gps_time_s,monitor_mn,monitor_sd,sigma_delta_output_mean,sigma_delta_output_sd,em_telescope_temp_c,wavelength_um,wavelength_center_um_sd,wavelength_gauss_amp,wavelength_source,wavelength_um_fwhm,wavelength_fwhm_um_sd,wavelength_um_opa,wavelength_um_grating,u_pbrr_ap_align,u_pbrr_stray,u_pbrr_ap_d,u_pbrr_det_ap,u_pbrr_det_ap_diff,u_pbrr_ent_ap,u_pbrr_ent_ap_diff,u_pbrr_nonequiv,u_pbrr_nonlinear,u_pbrr_rhtr,u_pbrr_rtop,u_pbrr_rtrace,u_pbrr_vacnt,u_pbrr_vref,gf_resp,u_resp_noise_lst,gf_l0,gf_l0_sd,gf_gx,gf_gx_sd,gf_gy,gf_gy_sd,gf_gp,gf_gp_sd,gf_gw,gf_gw_sd,gf_gt,gf_gt_sd,gf_sigma_lst,gf_sigma_pbrr,gf_rel_sigma_lst,gf_redchi,gf_ndata,gf_nvarys,c_scirad_out_of_field,u_scirad_out_of_field,srf_lst,u_scirad_nonlinear_lst,gf_gx_smooth,gf_gx_sd_smooth,gf_gy_smooth,gf_gy_sd_smooth,gf_gp_smooth,gf_gp_sd_smooth,gf_gw_smooth,gf_gw_sd_smooth,u_spatial_unif,u_angular_unif,u_wavelength_dsrf_dwl_lst,u_lst_campaign_correction,u_random_lst,srf_lst_corrected,srf_lst_campaign_correction,srf_fit_lst,srf_fit_lst_sd,srf_fit_lst_res
ERF_Log_File_20260206_0816.csv,sp,13,p02,5,2,filled_square,prism,CCS200_Spectrum_1454426190.csv,1.45443e+09,2.82904,0.000412169,0.622738,0.00295984,29.0641,0.650332,0.000125567,1.31217,1,0.0055688,1.03967e-05,0.65,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,7.44196e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.73917e-05,4.04e-05,0.914834,7.73731e-05,245.677,0.0195992,2.96692e-05,1.562e-05,5.40568e-06,1.5731e-05,-0.000423276,0.000595364,-0.00109101,0.000595361,5.17658e-06,3.28215e-06,0.0438255,0.0641791,0.000194993,1.11864,66,7,0.989779,5.67402e-05,0.924281,0.000210321,6.2551e-05,2.30958e-09,-3.51249e-05,2.01348e-09,3.72369e-05,6.24917e-06,-0.00042259,1.08402e-05,2.4419e-05,4.60486e-05,1.5711e-05,8.25464e-05,7.89501e-05,0.924303,2.15642e-05,0.92436,0.000173867,-5.76987e-05
ERF_Log_File_20251017_1616.csv,sp,13,p02,4,1,filled_square,prism,CCS200_Spectrum_1444774581.csv,1.44478e+09,3.43939,0.00087021,0.60818,0.00338781,29.1551,0.650526,0.000125537,1.48189,1,0.0054607,7.71701e-06,0.65,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,7.44444e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.73794e-05,4.04e-05,0.916054,0.000210144,170.859,0.0344682,4.11757e-05,3.95912e-05,3.28423e-05,4.03248e-05,-5.9722e-06,0.00231682,-0.0033978,0.00231682,3.66817e-05,1.34626e-05,0.118764,0.112891,0.000758801,1.11864,66,7,0.989782,5.6795e-05,0.925511,0.000219824,4.22244e-05,6.51732e-09,-3.60328e-05,4.72662e-09,-0.000160737,8.10684e-06,-0.000473456,9.99091e-06,1.95643e-05,6.34503e-05,1.5731e-05,0.000104979,0.000210731,0.92549,-2.11334e-05,0.924336,0.000174238,0.00115368
ERF_Log_File_20250602_1011.csv,sp,13,p02,2,0,filled_square,prism,CCS200_Spectrum_1432915917.csv,1.43292e+09,3.12055,0.000204048,0.619245,0.000499685,28.9762,0.650992,0.000125544,1.03553,1,0.0056195,8.44859e-06,0.65,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,7.45043e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.73495e-05,4.04e-05,0.91535,0.0001737,144.673,0.0270091,3.75633e-05,3.6334e-05,2.90141e-05,3.6413e-05,0.00270209,0.00072137,-0.0011073,0.000721367,1.72122e-05,4.25665e-06,0.0312871,0.0884617,0.000236261,1.11864,66,7,0.989789,5.67013e-05,0.924793,0.000226501,3.67807e-05,5.02032e-09,2.34029e-05,3.3388e-09,0.00044036,2.26108e-05,-0.000452764,2.71551e-05,1.50459e-05,8.94518e-05,1.57889e-05,9.43848e-05,0.000174415,0.924311,-0.000481853,0.924278,0.00017513,3.3641e-05
ERF_Log_File_20260206_0755.csv,sp,13,p02,5,2,filled_square,prism,CCS200_Spectrum_1454424957.csv,1.45443e+09,3.03653,0.000515656,0.502202,0.00128091,29.0595,0.675227,0.000125574,1.319,1,0.00533348,1.08115e-05,0.675,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,7.72598e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.57995e-05,4.04e-05,0.912365,0.000127026,251.278,0.0234893,-2.07547e-05,1.83914e-05,2.52324e-05,1.95356e-05,0.00314265,0.00218726,-0.0024179,0.00218725,1.9458e-05,1.15755e-05,0.164233,0.0767995,0.00071637,1.11864,66,7,0.990144,5.41393e-05,0.921447,0.000209409,-8.39408e-06,2.17225e-09,-9.08477e-06,1.8962e-09,-8.10574e-05,6.04918e-06,-0.000621494,1.04933e-05,4.36971e-06,7.02865e-05,1.83951e-05,7.88379e-05,0.000128348,0.921412,-3.4327e-05,0.920968,0.000176596,0.000444915
ERF_Log_File_20260205_1526.csv,sp,13,p02,5,2,filled_square,prism,CCS200_Spectrum_1454365577.csv,1.45437e+09,3.04063,0.000123806,0.501161,0.00139117,29.0767,0.675327,0.000125577,1.42439,1,0.00532409,1.10256e-05,0.675,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,7.72704e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.57931e-05,4.04e-05,0.911976,0.000129486,251.608,0.0353052,-1.0273e-05,2.7222e-05,-3.09432e-05,2.72598e-05,0.000935157,0.000459635,7.71761e-05,0.000459633,4.66175e-06,2.544e-06,0.0345426,0.115629,0.000150539,1.11864,66,7,0.990145,5.41073e-05,0.921053,0.000209305,-8.65849e-06,2.1745e-09,-8.85855e-06,1.8962e-09,-8.15254e-05,6.04826e-06,-0.00062222,1.04916e-05,4.37926e-06,7.04058e-05,1.84049e-05,7.87928e-05,0.000130785,0.921018,-3.45253e-05,0.920953,0.000176438,6.55608e-05
ERF_Log_File_20251017_1635.csv,sp,13,p02,4,1,filled_square,prism,CCS200_Spectrum_1444775753.csv,1.44478e+09,3.84237,0.00048902,0.498801,0.00161644,29.1599,0.675483,0.000125549,1.48312,1,0.00540127,8.85184e-06,0.675,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,7.7287e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.57831e-05,4.04e-05,0.911787,0.000483178,182.563,0.0943095,6.03937e-05,0.000100842,-5.86149e-06,0.000101187,-0.00541883,0.00250622,-0.00475443,0.00250621,0.000192651,1.47163e-05,0.136633,0.3089,0.000820828,1.11864,66,7,0.990147,5.40822e-05,0.92086,0.000216768,-4.04274e-05,6.46835e-09,6.85419e-06,4.6973e-09,-0.000233413,8.12378e-06,-0.000596794,1.00118e-05,1.18204e-05,8.30432e-05,1.84153e-05,9.8758e-05,0.000483528,0.920895,3.48499e-05,0.92093,0.000176193,-3.49136e-05
ERF_Log_File_20250602_1031.csv,sp,13,p02,2,0,filled_square,prism,CCS200_Spectrum_1432917085.csv,1.43292e+09,3.56004,0.000290949,0.498396,0.000351904,28.9793,0.676053,0.000125551,1.1905,1,0.00541215,8.99108e-06,0.675,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,7.73476e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.57466e-05,4.04e-05,0.911964,0.000218475,159.224,0.0367839,-5.2011e-05,4.51715e-05,3.59389e-05,4.53929e-05,-0.00433989,0.00134523,0.00148675,0.00134523,1.51069e-05,7.92267e-06,0.0639761,0.120477,0.000440587,1.11864,66,7,0.990155,5.40421e-05,0.921032,0.000221649,-4.57768e-05,4.76146e-09,4.68097e-05,3.1844e-09,0.000403478,2.41841e-05,-0.000640171,2.93047e-05,2.31466e-05,0.000104504,1.84687e-05,8.85624e-05,0.000219253,0.920566,-0.000465081,0.920846,0.000175297,-0.000279796
ERF_Log_File_20260205_1502.csv,sp,13,p02,5,2,filled_square,prism,CCS200_Spectrum_1454364159.csv,1.45436e+09,2.99863,0.000141672,0.424903,0.00251987,29.0736,0.70201,0.000125562,1.24292,1,0.00547189,9.94813e-06,0.702,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,8.02825e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.40799e-05,4.04e-05,0.907974,0.000158486,230.38,0.0400129,-5.1154e-05,3.31924e-05,5.68434e-06,3.32119e-05,0.000159965,0.000368263,-0.00040616,0.000368261,2.05727e-06,2.03912e-06,0.0252297,0.13105,0.000120613,1.11864,66,7,0.990512,5.16929e-05,0.916671,0.000210098,-7.56434e-05,2.07331e-09,1.6392e-05,1.8138e-09,-0.000196678,5.79981e-06,-0.000792289,1.00606e-05,2.30088e-05,9.89116e-05,2.05454e-05,7.59717e-05,0.00015981,0.916583,-8.79522e-05,0.916802,0.000149682,-0.000218908
ERF_Log_File_20250602_1050.csv,sp,13,p02,2,0,filled_square,prism,CCS200_Spectrum_1432918252.csv,1.43292e+09,3.84801,0.000133604,0.425566,0.000148268,28.9797,0.702135,0.000125553,1.10991,1,0.00555418,9.17291e-06,0.702,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,8.02962e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.40715e-05,4.04e-05,0.908561,0.000188411,161.293,0.0330707,-9.03822e-05,3.97615e-05,6.34745e-05,3.98215e-05,-0.000718021,0.000658658,-0.000426853,0.000658655,2.07651e-05,3.88813e-06,0.0316129,0.108315,0.000215722,1.11864,66,7,0.990514,5.17172e-05,0.917262,0.000220459,-0.000121133,4.43532e-09,6.8072e-05,2.9694e-09,0.000341851,2.57178e-05,-0.000757356,3.09425e-05,4.73013e-05,0.000110081,2.05524e-05,8.35053e-05,0.000189527,0.916812,-0.000450313,0.916782,0.000149721,2.995e-05
ERF_Log_File_20250605_1631.csv,sp,13,p02,2,0,filled_square,prism,CCS200_Spectrum_1433197885.csv,1.4332e+09,3.60293,0.000467356,0.422092,0.00149727,29.0032,0.70233,0.000125572,1.05151,1,0.00557424,1.06682e-05,0.702,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,8.03176e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,2.40584e-05,4.04e-05,0.908405,0.000219267,150.216,0.0342874,-6.07198e-05,4.46972e-05,6.78468e-05,4.50395e-05,0.00262396,0.00166528,0.00168481,0.00166528,-2.79214e-05,9.79771e-06,0.0744255,0.112296,0.000545412,1.11864,66,7,0.990516,5.16942e-05,0.917103,0.000223408,-0.000121655,4.43532e-09,6.81853e-05,2.9694e-09,0.00034132,2.57283e-05,-0.00075794,3.09522e-05,4.74601e-05,0.000110086,2.05687e-05,8.3459e-05,0.000220228,0.916653,-0.000450147,0.91675,0.000149782,-9.72939e-05
