log_file,spectrum_file,opa_wavelength_nm,type,photodiode,forebaffle
ERF_Log_File_20250715_1512.csv,CCS200_Spectrum_1436649114.csv,900,1d,1,0
ERF_Log_File_20250715_1551.csv,CCS200_Spectrum_1436651441.csv,600,1d,1,0
ERF_Log_File_20250716_1049.csv,CCS200_Spectrum_1436719456.csv,400,1d,1,0
ERF_Log_File_20250716_1215.csv,ERF_OSA207_Spectra_20250716_1214.csv,1100,1d,1,0
ERF_Log_File_20250728_0957.csv,CCS200_Spectrum_1437753473.csv,400,2d,1,0
ERF_Log_File_20250728_1155.csv,CCS200_Spectrum_1437760539.csv,1000,2d,1,0
ERF_Log_File_20250730_1243.csv,CCS200_Spectrum_1437939147.csv,1000,2d,1,1
ERF_Log_File_20250730_1458.csv,CCS200_Spectrum_1437939147.csv,1000,2d,1,1
ERF_Log_File_20250731_0934.csv,CCS200_Spectrum_1438011278.csv,400,2d,1,1
ERF_Log_File_20250731_1130.csv,CCS200_Spectrum_1438018218.csv,600,2d,1,1
ERF_Log_File_20250731_1235.csv,CCS200_Spectrum_1438022114.csv,800,2d,1,1
