wavelength_um,loss_10,loss_10_sd,loss_12,loss_12_sd,loss_13,loss_13_sd
0.426567,3.89253,0.0719447,3.39431,0.0658733,3.07496,0.0625188
0.429136,3.82436,0.0702809,3.33056,0.0642525,3.01367,0.0609291
0.43172,3.75777,0.0687068,3.26834,0.0627199,2.95392,0.059427
0.434319,3.69273,0.0672173,3.20764,0.0612706,2.89566,0.0580072
0.436935,3.6292,0.0658073,3.14843,0.0598993,2.83887,0.0566647
0.439566,3.56716,0.0644718,3.09067,0.0586013,2.78353,0.0553947
0.442213,3.50659,0.0632057,3.03434,0.0573714,2.72961,0.0541923
0.444875,3.44744,0.0620044,2.97942,0.0562049,2.67707,0.0530525
0.447554,3.3897,0.0608629,2.92587,0.0550972,2.62589,0.0519708
0.450249,3.33334,0.0597768,2.87366,0.0540436,2.57604,0.0509427
0.45296,3.27833,0.0587417,2.82277,0.0530399,2.5275,0.0499638
0.455688,3.22464,0.0577533,2.77317,0.0520818,2.48024,0.04903
0.458432,3.17224,0.0568076,2.72484,0.0511653,2.43422,0.0481372
0.461192,3.12111,0.0559008,2.67774,0.0502867,2.38943,0.0472818
0.463969,3.07122,0.0550294,2.63185,0.0494424,2.34583,0.0464603
0.466763,3.02255,0.05419,2.58715,0.0486293,2.30341,0.0456693
0.469574,2.97506,0.0533796,2.5436,0.0478441,2.26213,0.0449059
0.472401,2.92874,0.0525953,2.50119,0.0470842,2.22196,0.0441672
0.475246,2.88355,0.0518249,2.45988,0.0463362,2.18289,0.0434393
0.478108,2.83947,0.0510652,2.41965,0.0455968,2.14489,0.0427189
0.480987,2.79648,0.050327,2.38048,0.0448783,2.10793,0.0420191
0.483883,2.75454,0.0496082,2.34234,0.0441786,2.07199,0.0413377
0.486797,2.71365,0.0489069,2.30521,0.0434958,2.03704,0.0406729
0.489728,2.67376,0.0482213,2.26905,0.0428281,2.00305,0.040023
0.492677,2.63486,0.04755,2.23386,0.042174,1.97002,0.0393864
0.495643,2.59693,0.0468916,2.1996,0.0415323,1.9379,0.0387618
0.498628,2.55993,0.046245,2.16625,0.0409018,1.90668,0.0381481
0.50163,2.52385,0.0456093,2.13379,0.0402815,1.87634,0.0375442
