wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss
2.65941,0.837879,0.000393263,0.000185211,0.000346919,0.963261,0.000284969,9.21769e-05,0.000269649,0.00041451,2.19699e-05,5.90653e-06,2.11611e-05,0.636402,0.000183494,0.000122768,0.000136375
2.66153,0.837838,0.000393243,0.000186414,0.000346251,0.963275,0.000283945,9.26144e-05,0.000268417,0.000409527,2.19369e-05,5.9347e-06,2.11188e-05,0.636393,0.000183541,0.000121731,0.000137363
2.66365,0.837794,0.000393313,0.000187798,0.000345582,0.963289,0.000282925,9.30555e-05,0.000267183,0.000404757,2.19031e-05,5.96025e-06,2.10765e-05,0.636384,0.000183577,0.000120662,0.000138352
2.66578,0.837747,0.000393461,0.000189333,0.000344913,0.963303,0.000281906,9.34997e-05,0.000265949,0.000400215,2.18684e-05,5.98252e-06,2.10342e-05,0.636374,0.000183608,0.000119564,0.000139342
2.6679,0.837697,0.000393673,0.000190985,0.000344243,0.963317,0.00028089,9.39461e-05,0.000264714,0.000395914,2.18327e-05,6.0009e-06,2.09919e-05,0.636363,0.000183637,0.000118445,0.000140333
2.67003,0.837645,0.000393933,0.00019272,0.000343573,0.963331,0.000279877,9.4394e-05,0.000263478,0.000391867,2.17958e-05,6.01476e-06,2.09495e-05,0.636351,0.000183669,0.00011731,0.000141324
2.67216,0.837591,0.000394224,0.000194501,0.000342902,0.963344,0.000278865,9.48429e-05,0.000262241,0.000388088,2.17575e-05,6.02355e-06,2.0907e-05,0.636339,0.000183707,0.000116164,0.000142316
2.67429,0.837535,0.000394527,0.000196291,0.000342231,0.963358,0.000277854,9.52919e-05,0.000261003,0.000384591,2.17176e-05,6.02671e-06,2.08646e-05,0.636326,0.000183755,0.000115014,0.000143309
2.67643,0.837477,0.000394826,0.000198053,0.000341559,0.963372,0.000276846,9.57404e-05,0.000259764,0.000381389,2.16759e-05,6.02376e-06,2.08221e-05,0.636312,0.000183817,0.000113865,0.000144303
2.67856,0.837416,0.000395099,0.00019975,0.000340886,0.963386,0.000275838,9.61876e-05,0.000258524,0.000378496,2.16324e-05,6.01422e-06,2.07796e-05,0.636297,0.000183897,0.000112723,0.000145298
2.6807,0.837354,0.000395329,0.000201346,0.000340213,0.963399,0.000274831,9.6633e-05,0.000257283,0.000375925,2.15869e-05,5.99774e-06,2.0737e-05,0.636282,0.000183997,0.000111594,0.000146293
2.68284,0.83729,0.000395496,0.000202804,0.00033954,0.963413,0.000273826,9.70757e-05,0.000256041,0.000373674,2.15395e-05,5.97436e-06,2.06944e-05,0.636265,0.000184122,0.000110485,0.000147289
2.68498,0.837225,0.00039558,0.000204092,0.000338866,0.963427,0.000272821,9.75152e-05,0.000254798,0.000371737,2.14903e-05,5.94442e-06,2.06518e-05,0.636248,0.000184275,0.000109401,0.000148286
2.68712,0.837158,0.000395563,0.000205174,0.000338191,0.96344,0.000271816,9.79507e-05,0.000253554,0.000370106,2.14393e-05,5.90834e-06,2.06091e-05,0.63623,0.000184459,0.000108348,0.000149284
2.68926,0.83709,0.000395426,0.000206021,0.000337516,0.963454,0.000270811,9.83815e-05,0.000252309,0.000368771,2.13868e-05,5.86659e-06,2.05664e-05,0.636211,0.000184675,0.000107332,0.000150283
2.69141,0.837021,0.000395153,0.000206603,0.000336841,0.963467,0.000269806,9.8807e-05,0.000251063,0.000367726,2.13329e-05,5.81968e-06,2.05237e-05,0.636191,0.000184928,0.000106358,0.000151282
2.69355,0.836951,0.000395009,0.000206891,0.000336495,0.963481,0.000269697,9.92264e-05,0.00025078,0.000366962,2.14287e-05,5.7682e-06,2.06377e-05,0.636171,0.000184668,0.000105434,0.000151611
2.6957,0.83688,0.000394745,0.000206861,0.000336202,0.963495,0.000269733,9.96392e-05,0.000250655,0.00036647,2.15486e-05,5.71275e-06,2.07775e-05,0.636149,0.000184353,0.000104562,0.000151831
