wavelength_um,loss_10,loss_10_sd,loss_12,loss_12_sd,loss_13,loss_13_sd
0.488338,2.00001,0.0141622,1.58724,0.0111683,1.31891,0.0095755
0.492294,1.98356,0.0140066,1.57574,0.0110251,1.3103,0.00944501
0.496281,1.96718,0.013854,1.56426,0.0108844,1.3017,0.00931677
0.5003,1.95086,0.0137044,1.5528,0.0107464,1.29311,0.00919077
0.504353,1.93462,0.013558,1.54137,0.0106108,1.28451,0.00906698
0.508438,1.91846,0.0134145,1.52997,0.0104779,1.27593,0.00894538
0.512556,1.90236,0.0132739,1.51859,0.0103474,1.26735,0.00882594
0.516707,1.88634,0.0131363,1.50725,0.0102194,1.25877,0.00870866
0.520892,1.8704,0.0130015,1.49593,0.0100938,1.25021,0.0085935
0.525111,1.85453,0.0128696,1.48465,0.00997075,1.24166,0.00848046
0.529364,1.83875,0.0127405,1.47339,0.00985011,1.23311,0.00836951
0.533652,1.82304,0.0126142,1.46218,0.00973188,1.22458,0.00826064
0.537974,1.80742,0.0124906,1.451,0.00961606,1.21607,0.00815383
0.542331,1.79187,0.0123696,1.43985,0.00950261,1.20756,0.00804907
0.546724,1.77641,0.0122513,1.42874,0.00939153,1.19907,0.00794633
0.551152,1.76104,0.0121357,1.41767,0.00928279,1.1906,0.00784561
0.555616,1.74575,0.0120225,1.40665,0.00917637,1.18215,0.00774689
0.560116,1.73055,0.0119119,1.39566,0.00907227,1.17371,0.00765016
0.564653,1.71544,0.0118038,1.38471,0.00897044,1.1653,0.00755541
0.569226,1.70041,0.0116981,1.37381,0.00887089,1.1569,0.00746261
0.573837,1.68548,0.0115948,1.36295,0.00877358,1.14853,0.00737176
0.578485,1.67064,0.0114938,1.35214,0.00867849,1.14017,0.00728285
0.58317,1.65588,0.0113952,1.34137,0.00858561,1.13184,0.00719586
0.587893,1.64123,0.0112988,1.33065,0.00849491,1.12354,0.00711077
0.592655,1.62666,0.0112047,1.31998,0.00840637,1.11526,0.00702758
0.597455,1.61219,0.0111127,1.30936,0.00831997,1.10701,0.00694628
0.602294,1.59782,0.0110228,1.29879,0.00823568,1.09878,0.00686684
0.607173,1.58354,0.0109351,1.28827,0.00815347,1.09058,0.00678926
0.61209,1.56936,0.0108494,1.2778,0.00807334,1.08241,0.00671352
0.617048,1.55528,0.0107657,1.26738,0.00799524,1.07427,0.00663961
0.622046,1.54129,0.0106839,1.25702,0.00791916,1.06616,0.00656751
0.627084,1.52741,0.0106041,1.24672,0.00784506,1.05808,0.00649722
0.632163,1.51363,0.0105262,1.23647,0.00777292,1.05004,0.00642871
0.637283,1.49995,0.0104501,1.22627,0.00770272,1.04202,0.00636196
0.642445,1.48636,0.0103757,1.21614,0.00763443,1.03404,0.00629698
0.647648,1.47289,0.0103031,1.20606,0.00756801,1.0261,0.00623372
0.652894,1.45951,0.0102323,1.19604,0.00750344,1.01819,0.00617219
0.658182,1.44624,0.010163,1.18608,0.00744068,1.01032,0.00611237
0.663513,1.43307,0.0100954,1.17618,0.00737972,1.00248,0.00605423
0.668887,1.42001,0.0100294,1.16634,0.00732052,0.994687,0.00599775
0.674305,1.40705,0.00996489,1.15657,0.00726304,0.986928,0.00594293
0.679766,1.3942,0.00990187,1.14685,0.00720726,0.979208,0.00588973
0.685272,1.38146,0.00984029,1.1372,0.00715314,0.971529,0.00583814
0.690822,1.36882,0.00978011,1.12762,0.00710065,0.96389,0.00578814
0.696417,1.35629,0.0097213,1.1181,0.00704977,0.956293,0.00573971
0.702058,1.34387,0.0096638,1.10864,0.00700045,0.948738,0.00569282
0.707744,1.33155,0.00960759,1.09925,0.00695266,0.941226,0.00564745
0.713477,1.31934,0.0095526,1.08993,0.00690637,0.933757,0.00560358
0.719255,1.30725,0.00949882,1.08067,0.00686155,0.926332,0.00556119
0.725081,1.29526,0.00944619,1.07148,0.00681816,0.918952,0.00552025
0.730954,1.28338,0.00939467,1.06236,0.00677617,0.911618,0.00548074
0.736874,1.27162,0.00934423,1.05331,0.00673554,0.904329,0.00544263
0.742842,1.25996,0.00929483,1.04433,0.00669624,0.897088,0.00540589
0.748859,1.24841,0.00924643,1.03542,0.00665823,0.889893,0.00537051
0.754924,1.23698,0.00919898,1.02658,0.00662148,0.882746,0.00533644
0.761039,1.22565,0.00915246,1.01781,0.00658596,0.875647,0.00530368
0.767203,1.21444,0.00910682,1.00912,0.00655162,0.868597,0.00527218
0.773417,1.20334,0.00906202,1.00049,0.00651843,0.861597,0.00524193
0.779681,1.19235,0.00901804,0.991936,0.00648637,0.854647,0.00521288
0.785996,1.18147,0.00897483,0.983456,0.00645538,0.847747,0.00518503
0.792362,1.17071,0.00893236,0.975048,0.00642545,0.840898,0.00515832
0.79878,1.16006,0.00889059,0.966715,0.00639653,0.8341,0.00513275
0.80525,1.14952,0.0088495,0.958455,0.00636858,0.827354,0.00510827
0.811772,1.13909,0.00880904,0.95027,0.00634158,0.820661,0.00508486
0.818347,1.12877,0.00876918,0.94216,0.00631549,0.81402,0.00506249
0.824975,1.11857,0.00872989,0.934124,0.00629028,0.807433,0.00504112
0.831657,1.10848,0.00869114,0.926165,0.0062659,0.800899,0.00502074
0.838393,1.09851,0.0086529,0.918281,0.00624233,0.794419,0.0050013
0.845183,1.08864,0.00861513,0.910473,0.00621954,0.787994,0.00498278
0.852029,1.07889,0.00857781,0.902741,0.00619748,0.781624,0.00496515
0.85893,1.06926,0.00854091,0.895086,0.00617614,0.775309,0.00494838
0.865886,1.05973,0.00850439,0.887508,0.00615546,0.76905,0.00493244
0.8729,1.05032,0.00846824,0.880007,0.00613544,0.762846,0.00491729
0.87997,1.04102,0.00843242,0.872584,0.00611602,0.756699,0.00490291
0.887097,1.03184,0.00839691,0.865238,0.00609718,0.750609,0.00488927
0.894282,1.02277,0.00836167,0.85797,0.00607889,0.744576,0.00487634
0.901525,1.01381,0.0083267,0.85078,0.00606112,0.738599,0.00486409
0.908827,1.00496,0.00829196,0.843668,0.00604383,0.732681,0.00485249
0.916188,0.996224,0.00825743,0.836634,0.00602701,0.72682,0.00484151
0.923609,0.987601,0.0082231,0.829679,0.00601061,0.721018,0.00483112
0.931089,0.979091,0.00818892,0.822803,0.00599462,0.715274,0.00482129
0.938631,0.970693,0.0081549,0.816005,0.005979,0.709588,0.004812
0.946233,0.962408,0.008121,0.809287,0.00596373,0.703962,0.00480322
0.953897,0.954233,0.00808722,0.802647,0.00594878,0.698395,0.00479492
0.961623,0.946171,0.00805353,0.796087,0.00593413,0.692887,0.00478707
0.969412,0.93822,0.00801991,0.789605,0.00591974,0.687439,0.00477965
0.977264,0.93038,0.00798636,0.783203,0.00590561,0.68205,0.00477263
0.985179,0.922652,0.00795285,0.776881,0.00589169,0.676722,0.00476599
0.993158,0.915034,0.00791938,0.770638,0.00587797,0.671454,0.0047597
1.0012,0.907526,0.00788593,0.764474,0.00586443,0.666246,0.00475373
1.00931,0.900129,0.00785249,0.75839,0.00585105,0.661099,0.00474806
1.01749,0.892843,0.00781905,0.752385,0.0058378,0.656012,0.00474267
1.02573,0.885666,0.00778561,0.74646,0.00582467,0.650986,0.00473754
1.03404,0.878598,0.00775216,0.740615,0.00581164,0.646021,0.00473264
1.04241,0.87164,0.00771868,0.734849,0.00579869,0.641118,0.00472796
1.05085,0.864791,0.00768519,0.729162,0.0057858,0.636275,0.00472346
1.05936,0.858051,0.00765167,0.723555,0.00577295,0.631494,0.00471913
1.06795,0.851419,0.00761812,0.718028,0.00576014,0.626775,0.00471496
1.07659,0.844895,0.00758455,0.71258,0.00574735,0.622116,0.00471092
1.08531,0.838479,0.00755095,0.707212,0.00573457,0.61752,0.00470699
1.09411,0.83217,0.00751733,0.701922,0.00572177,0.612985,0.00470317
1.10297,0.825969,0.00748369,0.696712,0.00570896,0.608512,0.00469942
1.1119,0.819874,0.00745005,0.691582,0.00569613,0.604101,0.00469574
1.12091,0.813886,0.0074164,0.68653,0.00568325,0.599751,0.00469211
1.12998,0.808004,0.00738276,0.681557,0.00567034,0.595464,0.00468851
1.13914,0.802228,0.00734914,0.676664,0.00565738,0.591238,0.00468495
1.14836,0.796557,0.00731555,0.671849,0.00564436,0.587075,0.00468139
1.15766,0.790991,0.00728202,0.667113,0.00563129,0.582973,0.00467783
1.16704,0.78553,0.00724855,0.662455,0.00561815,0.578934,0.00467427
1.17649,0.780173,0.00721517,0.657876,0.00560495,0.574956,0.00467068
1.18602,0.77492,0.0071819,0.653375,0.00559169,0.571041,0.00466707
1.19563,0.769771,0.00714876,0.648953,0.00557838,0.567187,0.00466343
1.20531,0.764724,0.00711579,0.644608,0.005565,0.563396,0.00465974
1.21507,0.75978,0.007083,0.640342,0.00555157,0.559667,0.004656
1.22492,0.754939,0.00705044,0.636153,0.0055381,0.555999,0.00465222
1.23484,0.750199,0.00701813,0.632041,0.00552458,0.552394,0.00464838
1.24484,0.745561,0.00698611,0.628007,0.00551103,0.54885,0.00464448
1.25492,0.741024,0.00695442,0.624051,0.00549747,0.545368,0.00464052
1.26509,0.736588,0.00692311,0.620171,0.00548389,0.541948,0.00463651
