wavelength [nm],signal
281.021,0.002
281.231,0.004
281.441,0.002
281.651,0.004
281.861,0.002
282.071,0.002
282.281,0.002
282.491,0.001
282.701,0.004
282.911,0.005
283.121,0.001
283.331,0.003
283.541,0
283.751,0.003
283.961,0.003
284.171,0.006
284.382,0.002
284.592,0.002
284.802,0.001
285.012,0.002
285.222,0.001
285.432,0.004
285.643,-0.001
285.853,0.002
286.063,0.004
286.273,0.005
286.484,0.001
286.694,0.003
286.904,0.003
287.114,0.002
287.325,0.002
287.535,0.002
287.745,-0.001
287.956,0.005
288.166,0.002
288.377,0.004
288.587,0.004
288.797,0.003
289.008,0.003
289.218,0.001
289.429,0.002
289.639,0.005
289.85,0.002
290.06,0.003
290.271,0.004
290.481,0.001
290.692,0.001
290.902,0.003
291.113,0.002
291.323,0.008
291.534,0.001
291.745,0.004
291.955,0
292.166,0.003
292.377,0.003
292.587,0.002
292.798,0
293.009,0.002
293.219,0.003
293.43,0.005
293.641,0.004
293.852,0
294.062,0.001
294.273,0.006
294.484,0
294.695,0.002
294.906,0.002
295.116,0.003
295.327,0.002
295.538,0.004
295.749,0.01
295.96,0.006
296.171,0.007
296.382,0.005
296.593,0.003
296.804,0.004
297.015,0
297.226,0.002
297.437,0.001
297.648,0.003
297.859,0.005
298.07,0.003
298.281,0.001
298.492,0.003
298.703,0
298.914,0.002
299.125,0.003
299.336,0.002
299.547,0
299.758,0.003
299.97,0.002
300.181,0.002
300.392,0
300.603,0.004
300.814,0.004
301.026,0.004
301.237,0.005
301.448,0.003
301.659,0.005
301.871,0.003
302.082,0.002
302.293,0.005
302.504,0.003
302.716,0.001
302.927,0.002
303.139,0.005
303.35,0.002
303.561,0.003
303.773,-0.001
303.984,0.002
304.196,0.003
304.407,0.005
304.618,0
304.83,0.004
305.041,0.002
305.253,0.003
305.464,0
305.676,0.005
305.888,-0.001
306.099,0.002
306.311,0
306.522,0.001
306.734,0.003
306.945,0.005
307.157,0.002
307.369,0.004
307.58,0.002
307.792,0.006
308.004,0.005
308.215,0.005
308.427,0.004
308.639,0.002
308.851,0.001
309.062,0.002
309.274,0.005
309.486,0.002
309.698,0.003
309.909,0.004
310.121,0.004
310.333,0.003
310.545,0.002
310.757,0.004
310.969,0.003
311.181,0.008
311.393,0.011
311.604,0.017
311.816,0.015
312.028,0.026
312.24,0.025
312.452,0.021
312.664,0.021
312.876,0.014
313.088,0.005
313.3,0.006
313.512,0.002
313.724,0.007
313.936,0.003
314.149,0.005
314.361,0
314.573,0.004
314.785,0.005
314.997,0.001
315.209,0
315.421,0.003
315.633,0.004
315.846,0.003
316.058,0.004
316.27,0.002
316.482,0.001
316.695,0.002
316.907,0
317.119,0.002
317.331,0
317.544,0.003
317.756,0.005
317.968,0.004
318.181,0.001
318.393,0.005
318.605,0.004
318.818,0.002
319.03,0.003
319.243,0.002
319.455,0.002
319.667,0.002
319.88,0.005
320.092,0.003
320.305,0.003
320.517,0.005
320.73,-0.001
320.942,0.002
321.155,0.004
321.367,0.002
321.58,0.003
321.793,0.003
322.005,0.003
322.218,0.004
322.43,0
322.643,0.002
322.856,0.002
323.068,0.004
323.281,0.001
323.494,0.002
323.706,0.002
323.919,0.004
324.132,-0.001
324.345,0.004
324.557,0.002
324.77,0.005
324.983,0.003
325.196,0.005
325.408,-0.002
325.621,-0.001
325.834,0.002
326.047,0.005
326.26,0.002
326.473,0.004
326.686,0.003
326.898,0.006
327.111,0.003
327.324,0.002
327.537,-0.001
327.75,0.002
327.963,0
328.176,0.004
328.389,0.002
328.602,0.004
328.815,0
329.028,0.003
329.241,0.002
329.454,0.007
329.667,0.001
329.88,0.004
330.094,0.003
330.307,0.002
330.52,0.001
330.733,0.002
330.946,0.002
331.159,-0.001
331.373,0.005
331.586,0.001
331.799,0.002
332.012,0.002
332.225,0.004
332.439,0.006
332.652,0.006
332.865,0.005
333.078,0.01
333.292,0.01
333.505,0.004
333.718,0.007
333.932,0.003
334.145,0.007
334.359,0.003
334.572,0.004
334.785,0.001
334.999,0.003
335.212,0.003
335.426,0.002
335.639,0.004
335.853,0.003
336.066,0.003
336.28,0.004
336.493,0.003
336.707,0.002
336.92,-0.002
337.134,0.004
337.347,0.003
337.561,0.003
337.774,0
337.988,0.003
338.202,0.003
338.415,0.004
338.629,0.004
338.843,0.005
339.056,0
339.27,0.005
339.484,0.003
339.697,0.003
339.911,0.003
340.125,0.002
340.339,0.003
340.552,0.004
340.766,-0.001
340.98,0.005
341.194,0.003
341.408,0.005
341.621,0.001
341.835,0.003
342.049,0.002
342.263,0.003
342.477,0.003
342.691,0.003
342.905,0.001
343.119,0.004
343.333,0.001
343.546,0.006
343.76,0.003
343.974,0.004
344.188,-0.001
344.402,0.006
344.616,0.002
344.831,0.002
345.045,0.004
345.259,0.003
345.473,0.002
345.687,0.004
345.901,0
346.115,0.003
346.329,0.006
346.543,0.003
346.757,0.003
346.972,0.004
347.186,0.001
347.4,0.004
347.614,0.005
347.828,0.004
348.043,0.003
348.257,0.004
348.471,0.003
348.685,0.002
348.9,0.003
349.114,0.004
349.328,0.002
349.543,0.007
349.757,0.002
349.971,0.002
350.186,0.003
350.4,0.004
350.615,0.005
350.829,0.005
351.043,0.002
351.258,0.003
351.472,0.001
351.687,0.003
351.901,0.001
352.116,0.003
352.33,0.003
352.545,0.005
352.759,0.003
352.974,0.004
353.188,0.002
353.403,0.002
353.618,0.001
353.832,0.004
354.047,0.003
354.261,0.002
354.476,0.005
354.691,0.004
354.905,0.005
355.12,0.004
355.335,0.002
355.549,0.004
355.764,0.001
355.979,0.005
356.194,0.003
356.408,0.003
356.623,0.003
356.838,0.003
357.053,-0.001
357.268,0.001
357.482,0.001
357.697,0.006
357.912,0.002
358.127,0.003
358.342,0.004
358.557,0.004
358.772,0.002
358.987,0.005
359.201,0.004
359.416,0.002
359.631,0
359.846,0.004
360.061,0.003
360.276,0.006
360.491,0.006
360.706,0.002
360.921,0.001
361.136,0.002
361.351,0.005
361.567,0.007
361.782,0.004
361.997,0.006
362.212,0.005
362.427,0.003
362.642,0.003
362.857,0.006
363.072,0.004
363.288,0.014
363.503,0.031
363.718,0.087
363.933,0.18
364.149,0.251
364.364,0.28
364.579,0.284
364.794,0.252
365.01,0.207
365.225,0.158
365.44,0.129
365.656,0.1
365.871,0.074
366.086,0.055
366.302,0.035
366.517,0.019
366.732,0.008
366.948,0.006
367.163,0.005
367.379,0.007
367.594,0.007
367.81,0.003
368.025,0.006
368.241,0.006
368.456,0.005
368.672,0.007
368.887,0.008
369.103,0.012
369.318,0.013
369.534,0.013
369.749,0.015
369.965,0.013
370.18,0.018
370.396,0.014
370.612,0.012
370.827,0.008
371.043,0.007
371.259,0.004
371.474,0.006
371.69,0.003
371.906,0.002
372.122,0.004
372.337,0.003
372.553,0.001
372.769,0.006
372.985,0.004
373.2,0.005
373.416,0.001
373.632,0.004
373.848,0.001
374.064,0.003
374.28,0.003
374.495,0.005
374.711,0.004
374.927,0.005
375.143,0.002
375.359,0
375.575,0.003
375.791,0.003
376.007,0.005
376.223,0.004
376.439,0.002
376.655,0.002
376.871,0.002
377.087,0.002
377.303,0.003
377.519,0.003
377.735,0.004
377.951,0.003
378.167,0.005
378.383,0.004
378.599,0.003
378.816,0.006
379.032,0.003
379.248,0.005
379.464,0.001
379.68,0.005
379.896,0.002
380.113,0.004
380.329,0.002
380.545,0.003
380.761,0.006
380.978,0.008
381.194,0.001
381.41,0.003
381.626,0.006
381.843,0.003
382.059,0
382.275,0.004
382.492,0.003
382.708,0.003
382.924,0.004
383.141,0.006
383.357,0.003
383.574,0.003
383.79,0.002
384.007,0.005
384.223,0.003
384.44,0.005
384.656,0.002
384.872,0.003
385.089,0.002
385.306,0.001
385.522,0.001
385.739,0.002
385.955,0.004
386.172,0.003
386.388,0.002
386.605,0.004
386.822,0
387.038,0.004
387.255,0.002
387.471,0.002
387.688,0
387.905,0.005
388.122,0.003
388.338,0.005
388.555,0.003
388.772,0.004
388.988,0.002
389.205,0.006
389.422,0.002
389.639,0.005
389.856,0.004
390.072,0.005
390.289,0.003
390.506,0.006
390.723,0.001
390.94,0.002
391.157,0.001
391.373,0.005
391.59,0.001
391.807,0
392.024,0.003
392.241,0.007
392.458,0.002
392.675,0.004
392.892,0.003
393.109,0.004
393.326,0.003
393.543,0.003
393.76,0.004
393.977,0.001
394.194,0.003
394.411,0.002
394.628,0.001
394.845,0.003
395.063,0.003
395.28,0.003
395.497,0.003
395.714,0.003
395.931,0.001
396.148,0.006
396.365,0.004
396.583,0.002
396.8,0
397.017,0.003
397.234,0.003
397.452,0.005
397.669,0.004
397.886,0.003
398.103,0.002
398.321,0.008
398.538,0.001
398.755,0.005
398.973,0.003
399.19,0.004
399.407,0.002
399.625,0.006
399.842,0.004
400.06,0.004
400.277,0.003
400.494,0.004
400.712,0.006
400.929,0.004
401.147,0.004
401.364,0.008
401.582,0.003
401.799,0.003
402.017,0.007
402.234,0.005
402.452,0.005
402.669,0.011
402.887,0.01
403.105,0.02
403.322,0.068
403.54,0.34
403.757,0.819
403.975,1.058
404.193,0.958
404.41,0.783
404.628,0.587
404.846,0.356
405.063,0.16
405.281,0.061
405.499,0.029
405.717,0.015
405.934,0.012
406.152,0.012
406.37,0.011
406.588,0.091
406.805,0.148
407.023,0.143
407.241,0.119
407.459,0.095
407.677,0.068
407.895,0.033
408.113,0.016
408.33,0.007
408.548,0.007
408.766,0.004
408.984,0.006
409.202,0.004
409.42,0.009
409.638,0.004
409.856,0.006
410.074,0.005
410.292,0.007
410.51,0.001
410.728,0.002
410.946,0.004
411.164,0.005
411.382,0.001
411.6,0.005
411.818,0
412.037,0.002
412.255,0.004
412.473,0.005
412.691,0.002
412.909,0.003
413.127,0.002
413.345,0.006
413.564,0.003
413.782,0.004
414,0.001
414.218,0.004
414.437,0.001
414.655,0.005
414.873,0.004
415.091,0.004
415.31,0.002
415.528,0.008
415.746,0.004
415.965,0.004
416.183,0
416.401,0.002
416.62,0.003
416.838,0.004
417.057,0.004
417.275,0
417.493,-0.001
417.712,0.003
417.93,0.004
418.149,0.005
418.367,0.001
418.586,0.003
418.804,0.005
419.023,0.007
419.241,0.004
419.46,0.006
419.678,0.001
419.897,0.006
420.116,0.005
420.334,0.004
420.553,0.001
420.771,0.006
420.99,0.003
421.209,0.002
421.427,0.001
421.646,0.004
421.865,0.004
422.083,0.008
422.302,0.003
422.521,0.002
422.739,0.003
422.958,0.001
423.177,0.003
423.396,0.003
423.615,0.001
423.833,0.002
424.052,0.002
424.271,0.004
424.49,0.003
424.709,0.003
424.927,0.004
425.146,0.006
425.365,0.002
425.584,0.006
425.803,0.004
426.022,0.004
426.241,0.002
426.46,0.004
426.679,0.006
426.898,0.005
427.117,0.002
427.336,0.004
427.555,0.003
427.774,0.005
427.993,0.003
428.212,0.006
428.431,0.004
428.65,0.004
428.869,0.004
429.088,0.004
429.307,0.002
429.526,0.004
429.746,0.003
429.965,0.004
430.184,0.005
430.403,0.006
430.622,0.005
430.841,0.005
431.061,0.005
431.28,0.005
431.499,0.002
431.718,0.007
431.938,0.004
432.157,0.006
432.376,0.007
432.595,0.009
432.815,0.012
433.034,0.022
433.253,0.02
433.473,0.029
433.692,0.042
433.912,0.062
434.131,0.062
434.35,0.075
434.57,0.366
434.789,1.87
435.009,3.313
435.228,3.191
435.448,2.38
435.667,1.71
435.886,1.021
436.106,0.466
436.326,0.177
436.545,0.079
436.765,0.042
436.984,0.032
437.204,0.022
437.423,0.019
437.643,0.018
437.862,0.017
438.082,0.015
438.302,0.015
438.521,0.009
438.741,0.009
438.961,0.008
439.18,0.008
439.4,0.005
439.62,0.005
439.839,0.006
440.059,0.007
440.279,0.006
440.499,0.011
440.718,0.004
440.938,0.005
441.158,0.006
441.378,0.008
441.598,0.004
441.817,0.006
442.037,0.003
442.257,0.006
442.477,0.005
442.697,0.005
442.917,0.003
443.137,0.007
443.357,0.002
443.576,0.004
443.796,0.003
444.016,0.006
444.236,0.003
444.456,0.006
444.676,0.004
444.896,0.003
445.116,0.002
445.336,0.003
445.556,0.003
445.776,0.006
445.996,0.002
446.217,0.004
446.437,0.004
446.657,0.007
446.877,0.003
447.097,0.004
447.317,0.003
447.537,0.004
447.757,0.004
447.978,0.005
448.198,0.003
448.418,0.002
448.638,0.002
448.858,0.003
449.079,0
449.299,0.003
449.519,0.003
449.739,0.004
449.96,0.005
450.18,0.005
450.4,0.002
450.621,0.006
450.841,0.003
451.061,0.003
451.282,0.004
451.502,0.006
451.722,0.004
451.943,0.001
452.163,0.003
452.384,0.003
452.604,0.002
452.825,0.002
453.045,0.002
453.265,0.006
453.486,0.001
453.706,0.003
453.927,0
454.148,0.003
454.368,0.004
454.589,0.003
454.809,0.003
455.03,0.003
455.25,0.002
455.471,0.003
455.691,-0.001
455.912,0.005
456.133,-0.001
456.353,0.003
456.574,0.002
456.795,0.005
457.015,0.002
457.236,0.005
457.457,-0.001
457.678,0.002
457.898,0.003
458.119,0.003
458.34,0.002
458.561,0.005
458.781,0.001
459.002,0.002
459.223,0.002
459.444,0.004
459.665,0.001
459.885,0.004
460.106,0.002
460.327,0.004
460.548,0.001
460.769,0.003
460.99,-0.001
461.211,0.004
461.432,0.001
461.653,0.003
461.874,0.004
462.094,0.004
462.315,0
462.536,0.005
462.757,0
462.978,0
463.199,0.002
463.421,0.002
463.642,0.001
463.863,0
464.084,0.002
464.305,0.003
464.526,0.003
464.747,0.003
464.968,0
465.189,0.002
465.41,0.002
465.632,0.003
465.853,0.002
466.074,0.003
466.295,0.003
466.516,-0.001
466.738,0.005
466.959,0.001
467.18,0.002
467.401,0.002
467.623,0.005
467.844,0.001
468.065,0.005
468.286,0.002
468.508,0.005
468.729,0.003
468.95,0.002
469.172,0.002
469.393,0.001
469.615,0.002
469.836,0.002
470.057,0.002
470.279,0.002
470.5,0.004
470.722,0.003
470.943,0.002
471.165,0.002
471.386,0
471.608,0.004
471.829,0
472.051,0.005
472.272,0.004
472.494,0.004
472.715,0.003
472.937,0.001
473.158,0.002
473.38,0.002
473.602,0.003
473.823,0.008
474.045,0.001
474.266,0.004
474.488,0.004
474.71,0.003
474.931,0.004
475.153,0.006
475.375,0.001
475.596,0.003
475.818,0.001
476.04,0.006
476.262,0.001
476.483,0.004
476.705,-0.001
476.927,0.004
477.149,0.001
477.371,0.004
477.592,-0.001
477.814,0.002
478.036,0.004
478.258,0.004
478.48,0.003
478.702,0.004
478.924,0.001
479.145,0.004
479.367,0.002
479.589,0.003
479.811,0.002
480.033,0.002
480.255,0.003
480.477,0.001
480.699,0.002
480.921,0.002
481.143,0.003
481.365,0.005
481.587,0.001
481.809,0.003
482.031,0.001
482.253,0.001
482.476,0.003
482.698,0.004
482.92,0.002
483.142,0.002
483.364,0.004
483.586,0.004
483.808,0.004
484.03,0.005
484.253,0.001
484.475,0.004
484.697,0.001
484.919,0.003
485.141,0.002
485.364,0.004
485.586,0
485.808,0
486.031,0.003
486.253,0.003
486.475,0.005
486.697,0.001
486.92,0.005
487.142,0.003
487.364,0.002
487.587,0.004
487.809,0
488.032,0.002
488.254,0.002
488.476,0.003
488.699,-0.001
488.921,0.005
489.144,0.001
489.366,0.003
489.589,0.003
489.811,0.003
490.034,0.002
490.256,0.006
490.479,0.002
490.701,0.021
490.924,0.039
491.146,0.037
491.369,0.02
491.591,0.013
491.814,0.006
492.037,0.003
492.259,0.003
492.482,0.005
492.705,0.002
492.927,0.003
493.15,0.003
493.372,0.002
493.595,0.004
493.818,-0.001
494.041,0.002
494.263,0.004
494.486,0.002
494.709,0.006
494.932,0.005
495.154,0.002
495.377,0.002
495.6,0.003
495.823,0.002
496.046,0.003
496.268,0.001
496.491,0.004
496.714,0.001
496.937,0.003
497.16,0.004
497.383,0.001
497.606,0.001
497.829,0
498.051,0
498.274,0.005
498.497,0.002
498.72,0.001
498.943,0.001
499.166,0.001
499.389,0.001
499.612,0.003
499.835,0.002
500.058,0.002
500.281,0.001
500.504,0
500.728,0.002
500.951,0.001
501.174,0.002
501.397,0.003
501.62,0.001
501.843,0.005
502.066,0.001
502.289,0.004
502.512,0.006
502.736,0.001
502.959,0.002
503.182,0.002
503.405,0.003
503.628,0.003
503.852,0.003
504.075,0.004
504.298,0.001
504.522,0.003
504.745,0.001
504.968,0.005
505.191,0.004
505.415,0.002
505.638,0.002
505.861,0.003
506.085,0.003
506.308,0.002
506.531,0.001
506.755,0.003
506.978,0
507.202,0.005
507.425,0.001
507.649,0.005
507.872,0.001
508.095,0.003
508.319,0.002
508.542,0.005
508.766,-0.001
508.989,0.002
509.213,-0.001
509.437,0.003
509.66,0.001
509.884,0
510.107,0.002
510.331,0.005
510.554,-0.001
510.778,0.001
511.002,0.002
511.225,0.002
511.449,0.001
511.672,0.002
511.896,0.004
512.12,0.003
512.344,0.004
512.567,0.002
512.791,0.003
513.015,0.004
513.238,0.001
513.462,0.002
513.686,0
513.91,0.004
514.133,0.002
514.357,0.005
514.581,0.002
514.805,0.004
515.029,0.002
515.253,0.002
515.476,0.001
515.7,0.004
515.924,0.003
516.148,0.002
516.372,0.001
516.596,0.002
516.82,0.001
517.044,0.003
517.268,0.002
517.492,0.004
517.716,-0.002
517.94,0.005
518.164,0.003
518.388,0.003
518.612,0.004
518.836,0.002
519.06,0.002
519.284,0.001
519.508,-0.002
519.732,0.001
519.956,0.003
520.18,0.001
520.404,0.005
520.628,0.001
520.852,0.003
521.076,0.001
521.301,0.003
521.525,0.003
521.749,0.004
521.973,0.004
522.197,0.003
522.422,0.001
522.646,0.002
522.87,0.004
523.094,0.004
523.319,0.001
523.543,0.004
523.767,0.003
523.991,0.003
524.216,0.004
524.44,0.006
524.664,0.003
