log_file,gps_time_s,type,photodiode,detector_index,l,l_sd,npts,monitor,manip_x_mm,manip_y_mm,manip_pitch_deg,manip_yaw_deg,wavelength_um,opa_wavelength_um,rad_angle_deg,signal,l_center,l_center_sd,det_name,signal_uc,azimuth_deg,wavenum
ERF_Log_File_20250227_2136,1424753252,1d,0,1,0.03202927215,0.003782369922,3,2.452718,0,0,0,4.8,0.751,0.75,4.8,8.904814463e-05,359.6848905,0.8803111227,SSW,1.499781318e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753273,1d,0,1,0.02655224746,0.005666377185,3,2.452224,0,0,0,5.2,0.751,0.75,5.2,7.382085864e-05,359.6848905,0.8803111227,SSW,1.414634284e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753293,1d,0,1,0.02256419644,0.002364550428,3,2.451463143,0,0,0,5.6,0.751,0.75,5.6,6.27332341e-05,359.6848905,0.8803111227,SSW,1.360034343e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753313,1d,0,1,0.02167234478,0.002447749127,3,2.452707429,0,0,0,6,0.751,0.75,6,6.025369804e-05,359.6848905,0.8803111227,SSW,1.348769845e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753333,1d,0,1,0.01454587765,0.003064129546,3,2.452853714,0,0,0,6.4,0.751,0.75,6.4,4.044061353e-05,359.6848905,0.8803111227,SSW,1.272617028e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753353,1d,0,1,0.01326377025,0.004935157214,3,2.452039714,0,0,0,6.8,0.751,0.75,6.8,3.687608405e-05,359.6848905,0.8803111227,SSW,1.261736036e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753373,1d,0,1,0.008386543556,0.003707672867,3,2.452503714,0,0,0,7.2,0.751,0.75,7.2,2.331636323e-05,359.6848905,0.8803111227,SSW,1.228946564e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753393,1d,0,1,0.009696923854,0.00444980994,3,2.453663429,0,0,0,7.6,0.751,0.75,7.6,2.695949735e-05,359.6848905,0.8803111227,SSW,1.236380524e-05,90,13315.57923
ERF_Log_File_20250227_2136,1424753414,1d,0,1,0.005663133267,0.005578548917,3,2.452895429,0,0,0,8,0.751,0.75,8,1.574470715e-05,359.6848905,0.8803111227,SSW,1.216846844e-05,90,13315.57923
ERF_Log_File_20250227_1543,1424731501,1d,0,1,-0.0007674125779,0.004637100689,23,2.721026894,0,0,0,-10,0.802,0.8,10,-1.413133039e-06,543.0575584,0.004426710399,SSW,7.993035658e-06,-90,12468.82793
ERF_Log_File_20250227_1543,1424731602,1d,0,1,0.01157691628,0.004531038211,23,2.721898128,0,0,0,-9,0.802,0.8,9,2.131802808e-05,543.0575584,0.004426710399,SSW,8.27122922e-06,-90,12468.82793
ERF_Log_File_20250227_1543,1424731703,1d,0,1,0.0110397493,0.004860866657,23,2.719352043,0,0,0,-8,0.802,0.8,8,2.032887515e-05,543.0575584,0.004426710399,SSW,8.246288938e-06,-90,12468.82793
ERF_Log_File_20250227_1543,1424731804,1d,0,1,0.01084562885,0.004915564704,23,2.712487872,0,0,0,-7,0.802,0.8,7,1.997141681e-05,543.0575584,0.004426710399,SSW,8.237549666e-06,-90,12468.82793
ERF_Log_File_20250227_1543,1424731894,1d,0,1,0.02475391201,0.004606903585,17,2.704567714,0,0,0,-6,0.802,0.8,6,4.558248316e-05,543.0575584,0.004426710399,SSW,9.200341158e-06,-90,12468.82793
ERF_Log_File_20250227_1543,1424731954,1d,0,1,0.0473007345,0.005036972394,9,2.705061263,0,0,0,-5,0.802,0.8,5,8.710077553e-05,543.0575584,0.004426710399,SSW,1.182091794e-05,-90,12468.82793
ERF_Log_File_20250227_1543,1424731991,1d,0,1,0.09014817375,0.004037162406,5,2.702988,0,0,0,-4,0.802,0.8,4,0.0001660011399,543.0575584,0.004426710399,SSW,1.842369225e-05,-90,12468.82793
ERF_Log_File_20250227_1543,1424732016,1d,0,1,0.203022298,0.006329139192,3,2.702592571,0,0,0,-3,0.802,0.8,3,0.0003738504231,543.0575584,0.004426710399,SSW,3.822970111e-05,-90,12468.82793
ERF_Log_File_20250227_1543,1424732036,1d,0,1,0.3256733635,0.005061533519,3,2.704512857,0,0,0,-2.5,0.802,0.8,2.5,0.0005997032145,543.0575584,0.004426710399,SSW,6.05004804e-05,-90,12468.82793
ERF_Log_File_20250227_1543,1424732057,1d,0,1,0.5120332675,0.003022021937,3,2.703714857,0,0,0,-2,0.802,0.8,2,0.0009428710815,543.0575584,0.004426710399,SSW,9.46251947e-05,-90,12468.82793
ERF_Log_File_20250227_1543,1424732218,1d,0,1,0.5640453826,0.003036627821,3,2.701205714,0,0,0,2,0.802,0.8,2,0.001038647513,543.0575584,0.004426710399,SSW,0.0001041717586,90,12468.82793
ERF_Log_File_20250227_1543,1424732238,1d,0,1,0.3435412276,0.005948801583,3,2.702886,0,0,0,2.5,0.802,0.8,2.5,0.000632605554,543.0575584,0.004426710399,SSW,6.376336366e-05,90,12468.82793
ERF_Log_File_20250227_1543,1424732258,1d,0,1,0.2144857913,0.002060161123,3,2.701863429,0,0,0,3,0.802,0.8,3,0.0003949595912,543.0575584,0.004426710399,SSW,4.029639496e-05,90,12468.82793
ERF_Log_File_20250227_1543,1424732283,1d,0,1,0.08603626227,0.007354959963,5,2.701529818,0,0,0,4,0.802,0.8,4,0.0001584293616,543.0575584,0.004426710399,SSW,1.774449992e-05,90,12468.82793
ERF_Log_File_20250227_1543,1424732320,1d,0,1,0.03757532361,0.005181963353,9,2.701172947,0,0,0,5,0.802,0.8,5,6.919215658e-05,543.0575584,0.004426710399,SSW,1.05709127e-05,90,12468.82793
ERF_Log_File_20250227_1543,1424732381,1d,0,1,0.02134340011,0.005108266061,17,2.700235886,0,0,0,6,0.802,0.8,6,3.93022798e-05,543.0575584,0.004426710399,SSW,8.905916104e-06,90,12468.82793
ERF_Log_File_20250227_1543,1424732470,1d,0,1,0.01630957227,0.005283783595,23,2.699616809,0,0,0,7,0.802,0.8,7,3.003286119e-05,543.0575584,0.004426710399,SSW,8.537469013e-06,90,12468.82793
ERF_Log_File_20250227_1543,1424732571,1d,0,1,0.01069438673,0.005052591696,23,2.69950217,0,0,0,8,0.802,0.8,8,1.969291572e-05,543.0575584,0.004426710399,SSW,8.230841931e-06,90,12468.82793
ERF_Log_File_20250227_1543,1424732672,1d,0,1,0.006006119511,0.006111296711,23,2.699162298,0,0,0,9,0.802,0.8,9,1.105982122e-05,543.0575584,0.004426710399,SSW,8.067951787e-06,90,12468.82793
ERF_Log_File_20250227_1543,1424732773,1d,0,1,0.003188289727,0.005584032153,23,2.698238128,0,0,0,10,0.802,0.8,10,5.870997793e-06,543.0575584,0.004426710399,SSW,8.01332239e-06,90,12468.82793
ERF_Log_File_20250224_1022,1424453057,1d,0,1,0.006641690508,0.005652842284,23,7.168327957,0,0,0,-10,0.901,0.9,10,1.310194495e-05,506.9240127,0.2415606287,SSW,8.661115385e-06,-90,11098.77913
ERF_Log_File_20250224_1022,1424453158,1d,0,1,0.005904073022,0.007385997677,23,7.170025489,0,0,0,-9,0.901,0.9,9,1.164686003e-05,506.9240127,0.2415606287,SSW,8.640300654e-06,-90,11098.77913
ERF_Log_File_20250224_1022,1424453259,1d,0,1,0.00472235083,0.005332072925,23,7.168980255,0,0,0,-8,0.901,0.9,8,9.315697642e-06,506.9240127,0.2415606287,SSW,8.611974979e-06,-90,11098.77913
ERF_Log_File_20250224_1022,1424453361,1d,0,1,0.01635070595,0.004466474236,23,7.172764979,0,0,0,-7,0.901,0.9,7,3.225474735e-05,506.9240127,0.2415606287,SSW,9.148890349e-06,-90,11098.77913
