Wavelength,Normalized Flux,Relative Uncertainty
[m],Shirley F1 Case Approx,
1.00E-07,0.999885611,0.1
1.01E-07,0.999884819,0.1
1.01E-07,0.99988402,0.1
1.02E-07,0.999883214,0.1
1.03E-07,0.999882405,0.1
1.04E-07,0.999881589,0.1
1.04E-07,0.999880767,0.1
1.05E-07,0.999879939,0.1
1.06E-07,0.999879106,0.1
1.06E-07,0.999878267,0.1
1.07E-07,0.999877423,0.1
1.08E-07,0.999876573,0.1
1.09E-07,0.999875716,0.1
1.09E-07,0.999874853,0.1
1.10E-07,0.999873985,0.1
1.11E-07,0.99987311,0.1
1.12E-07,0.999872231,0.1
1.12E-07,0.999871345,0.1
1.13E-07,0.999870451,0.1
1.14E-07,0.999869553,0.1
1.15E-07,0.999868647,0.1
1.16E-07,0.999867736,0.1
1.16E-07,0.999866818,0.1
1.17E-07,0.999865895,0.1
1.18E-07,0.999864961,0.1
1.19E-07,0.999864028,0.1
1.20E-07,0.999863083,0.1
1.21E-07,0.999862133,0.1
1.21E-07,0.999861179,0.1
1.22E-07,0.999860212,0.1
1.23E-07,0.999859243,0.1
1.24E-07,0.999858268,0.1
1.25E-07,0.999857282,0.1
1.26E-07,0.999856293,0.1
1.27E-07,0.999855295,0.1
1.27E-07,0.999854291,0.1
1.28E-07,0.99985328,0.1
1.29E-07,0.999852261,0.1
1.30E-07,0.999851237,0.1
1.31E-07,0.999850208,0.1
1.32E-07,0.999849166,0.1
1.33E-07,0.999848118,0.1
1.34E-07,0.999847066,0.1
1.35E-07,0.999846005,0.1
1.36E-07,0.999844936,0.1
1.37E-07,0.999843861,0.1
1.37E-07,0.999842778,0.1
1.38E-07,0.999841683,0.1
1.39E-07,0.999840587,0.1
1.40E-07,0.999839484,0.1
1.41E-07,0.99983837,0.1
1.42E-07,0.999837243,0.1
1.43E-07,0.999836115,0.1
1.44E-07,0.999834979,0.1
1.45E-07,0.999833835,0.1
1.46E-07,0.999832679,0.1
1.47E-07,0.999831519,0.1
1.48E-07,0.99983035,0.1
1.49E-07,0.999829172,0.1
1.50E-07,0.999827986,0.1
1.51E-07,0.999826794,0.1
1.52E-07,0.999825593,0.1
1.54E-07,0.999824383,0.1
1.55E-07,0.999823164,0.1
1.56E-07,0.999821938,0.1
1.57E-07,0.999820701,0.1
1.58E-07,0.999819459,0.1
1.59E-07,0.999818205,0.1
1.60E-07,0.999816942,0.1
1.61E-07,0.999815674,0.1
1.62E-07,0.999814395,0.1
1.63E-07,0.9998131,0.1
1.65E-07,0.999811809,0.1
1.66E-07,0.999810504,0.1
1.67E-07,0.99980919,0.1
1.68E-07,0.999807867,0.1
1.69E-07,0.999806537,0.1
1.70E-07,0.999805191,0.1
1.71E-07,0.999803836,0.1
1.73E-07,0.999802477,0.1
1.74E-07,0.999801107,0.1
1.75E-07,0.999799726,0.1
1.76E-07,0.999798338,0.1
1.78E-07,0.999796937,0.1
1.79E-07,0.999795526,0.1
1.80E-07,0.999794108,0.1
1.81E-07,0.999792683,0.1
1.82E-07,0.999791248,0.1
1.84E-07,0.999789793,0.1
1.85E-07,0.999788339,0.1
1.86E-07,0.999786865,0.1
1.88E-07,0.999785389,0.1
1.89E-07,0.999783893,0.1
1.90E-07,0.999782401,0.1
1.92E-07,0.999780893,0.1
1.93E-07,0.999779369,0.1
1.94E-07,0.999777842,0.1
1.96E-07,0.999776294,0.1
1.97E-07,0.999774743,0.1
1.98E-07,0.999773184,0.1
2.00E-07,0.999771607,0.1
2.01E-07,0.999770025,0.1
2.02E-07,0.999768428,0.1
2.04E-07,0.999766822,0.1
2.05E-07,0.999765202,0.1
2.07E-07,0.999763574,0.1
2.08E-07,0.999761939,0.1
2.10E-07,0.999760284,0.1
2.11E-07,0.999758611,0.1
2.12E-07,0.999756946,0.1
2.14E-07,0.999755257,0.1
2.15E-07,0.999753555,0.1
2.17E-07,0.999751848,0.1
2.18E-07,0.999750129,0.1
2.20E-07,0.999748393,0.1
2.21E-07,0.999746646,0.1
2.23E-07,0.999744897,0.1
2.25E-07,0.999743118,0.1
2.26E-07,0.999741337,0.1
2.28E-07,0.999739542,0.1
2.29E-07,0.999737733,0.1
2.31E-07,0.999735921,0.1
2.32E-07,0.999734076,0.1
2.34E-07,0.999732239,0.1
2.36E-07,0.999730378,0.1
2.37E-07,0.999728508,0.1
2.39E-07,0.999726627,0.1
2.41E-07,0.999724731,0.1
2.42E-07,0.999722821,0.1
2.44E-07,0.999720904,0.1
2.46E-07,0.999718963,0.1
2.47E-07,0.999717005,0.1
2.49E-07,0.999715046,0.1
2.51E-07,0.999713065,0.1
2.53E-07,0.999711077,0.1
2.54E-07,0.999709073,0.1
2.56E-07,0.999707051,0.1
2.58E-07,0.999705016,0.1
2.60E-07,0.999702971,0.1
2.61E-07,0.999700907,0.1
2.63E-07,0.999698838,0.1
2.65E-07,0.999696749,0.1
2.67E-07,0.999694638,0.1
2.69E-07,0.999692527,0.1
2.71E-07,0.999690392,0.1
2.73E-07,0.999688244,0.1
2.74E-07,0.999686066,0.1
2.76E-07,0.999683904,0.1
2.78E-07,0.999681709,0.1
2.80E-07,0.999679494,0.1
2.82E-07,0.99967728,0.1
2.84E-07,0.999675043,0.1
2.86E-07,0.999672773,0.1
2.88E-07,0.999670509,0.1
2.90E-07,0.999668239,0.1
2.92E-07,0.999665925,0.1
2.94E-07,0.999663606,0.1
2.96E-07,0.999661264,0.1
2.98E-07,0.99965892,0.1
3.00E-07,0.999656564,0.1
3.02E-07,0.999654172,0.1
3.04E-07,0.999651769,0.1
3.07E-07,0.999649353,0.1
3.09E-07,0.999646927,0.1
3.11E-07,0.999644473,0.1
3.13E-07,0.999642023,0.1
3.15E-07,0.999639525,0.1
3.17E-07,0.999637013,0.1
3.20E-07,0.999634503,0.1
3.22E-07,0.99963198,0.1
3.24E-07,0.999629414,0.1
3.26E-07,0.999626841,0.1
3.28E-07,0.999624258,0.1
3.31E-07,0.999621638,0.1
3.33E-07,0.999619024,0.1
3.35E-07,0.999616376,0.1
3.38E-07,0.999613711,0.1
3.40E-07,0.99961104,0.1
3.42E-07,0.999608343,0.1
3.45E-07,0.999605613,0.1
3.47E-07,0.999602879,0.1
3.50E-07,0.999600137,0.1
3.52E-07,0.999597377,0.1
3.54E-07,0.999594582,0.1
3.57E-07,0.999591723,0.1
3.59E-07,0.999588905,0.1
3.62E-07,0.999586039,0.1
3.64E-07,0.999583186,0.1
3.67E-07,0.999580294,0.1
