Wavelength,Normalized Flux,Relative Uncertainty
[m],Shirley F1 Case Approx,
1.00E-07,0.999861701,0.1
1.01E-07,0.99986074,0.1
1.01E-07,0.999859775,0.1
1.02E-07,0.999858801,0.1
1.03E-07,0.999857822,0.1
1.04E-07,0.999856836,0.1
1.04E-07,0.99985584,0.1
1.05E-07,0.999854842,0.1
1.06E-07,0.999853834,0.1
1.06E-07,0.999852819,0.1
1.07E-07,0.999851802,0.1
1.08E-07,0.999850772,0.1
1.09E-07,0.999849734,0.1
1.09E-07,0.999848691,0.1
1.10E-07,0.999847642,0.1
1.11E-07,0.999846587,0.1
1.12E-07,0.999845522,0.1
1.12E-07,0.999844447,0.1
1.13E-07,0.999843369,0.1
1.14E-07,0.999842282,0.1
1.15E-07,0.999841188,0.1
1.16E-07,0.999840086,0.1
1.16E-07,0.999838976,0.1
1.17E-07,0.999837859,0.1
1.18E-07,0.999836733,0.1
1.19E-07,0.9998356,0.1
1.20E-07,0.99983446,0.1
1.21E-07,0.999833313,0.1
1.21E-07,0.99983216,0.1
1.22E-07,0.999830993,0.1
1.23E-07,0.999829819,0.1
1.24E-07,0.999828634,0.1
1.25E-07,0.999827446,0.1
1.26E-07,0.999826251,0.1
1.27E-07,0.999825047,0.1
1.27E-07,0.999823832,0.1
1.28E-07,0.99982261,0.1
1.29E-07,0.999821381,0.1
1.30E-07,0.999820139,0.1
1.31E-07,0.999818887,0.1
1.32E-07,0.999817636,0.1
1.33E-07,0.999816367,0.1
1.34E-07,0.999815095,0.1
1.35E-07,0.999813812,0.1
1.36E-07,0.999812519,0.1
1.37E-07,0.999811219,0.1
1.37E-07,0.999809908,0.1
1.38E-07,0.999808592,0.1
1.39E-07,0.999807262,0.1
1.40E-07,0.999805922,0.1
1.41E-07,0.999804574,0.1
1.42E-07,0.999803223,0.1
1.43E-07,0.999801855,0.1
1.44E-07,0.999800483,0.1
1.45E-07,0.999799096,0.1
1.46E-07,0.999797709,0.1
1.47E-07,0.999796294,0.1
1.48E-07,0.999794885,0.1
1.49E-07,0.999793461,0.1
1.50E-07,0.99979203,0.1
1.51E-07,0.99979059,0.1
1.52E-07,0.999789135,0.1
1.54E-07,0.999787672,0.1
1.55E-07,0.999786197,0.1
1.56E-07,0.999784715,0.1
1.57E-07,0.999783218,0.1
1.58E-07,0.999781715,0.1
1.59E-07,0.999780201,0.1
1.60E-07,0.99977868,0.1
1.61E-07,0.999777141,0.1
1.62E-07,0.999775594,0.1
1.63E-07,0.999774037,0.1
1.65E-07,0.99977247,0.1
1.66E-07,0.999770889,0.1
1.67E-07,0.999769301,0.1
1.68E-07,0.999767702,0.1
1.69E-07,0.999766093,0.1
1.70E-07,0.999764469,0.1
1.71E-07,0.999762826,0.1
1.73E-07,0.999761186,0.1
1.74E-07,0.999759529,0.1
1.75E-07,0.999757858,0.1
1.76E-07,0.999756178,0.1
1.78E-07,0.999754488,0.1
1.79E-07,0.999752785,0.1
1.80E-07,0.99975107,0.1
1.81E-07,0.999749346,0.1
1.82E-07,0.99974761,0.1
1.84E-07,0.99974585,0.1
1.85E-07,0.999744092,0.1
1.86E-07,0.999742309,0.1
1.88E-07,0.999740524,0.1
1.89E-07,0.999738718,0.1
1.90E-07,0.999736911,0.1
1.92E-07,0.999735086,0.1
1.93E-07,0.99973325,0.1
1.94E-07,0.999731394,0.1
1.96E-07,0.999729533,0.1
1.97E-07,0.999727642,0.1
1.98E-07,0.99972577,0.1
2.00E-07,0.99972386,0.1
2.01E-07,0.999721948,0.1
2.02E-07,0.99972002,0.1
2.04E-07,0.999718076,0.1
2.05E-07,0.99971612,0.1
2.07E-07,0.999714155,0.1
2.08E-07,0.999712171,0.1
2.10E-07,0.999710174,0.1
2.11E-07,0.999708161,0.1
2.12E-07,0.999706133,0.1
2.14E-07,0.999704096,0.1
2.15E-07,0.999702038,0.1
2.17E-07,0.999699972,0.1
2.18E-07,0.999697893,0.1
2.20E-07,0.999695801,0.1
2.21E-07,0.999693689,0.1
2.23E-07,0.999691561,0.1
2.25E-07,0.999689417,0.1
2.26E-07,0.999687264,0.1
2.28E-07,0.999685094,0.1
