Wavelength,Normalized Flux,Relative Uncertainty
[m],Shirley F1 Case Approx,
3.59E-07,0.999306434,0.1
3.62E-07,0.999301639,0.1
3.64E-07,0.99929678,0.1
3.67E-07,0.999291932,0.1
3.69E-07,0.999286993,0.1
3.72E-07,0.999282036,0.1
3.75E-07,0.999277081,0.1
3.77E-07,0.999272044,0.1
3.80E-07,0.99926701,0.1
3.82E-07,0.999261872,0.1
3.85E-07,0.999256803,0.1
3.88E-07,0.999251632,0.1
3.90E-07,0.99924648,0.1
3.93E-07,0.999241217,0.1
3.96E-07,0.999235958,0.1
3.99E-07,0.999230687,0.1
4.01E-07,0.99922532,0.1
4.04E-07,0.999219969,0.1
4.07E-07,0.999214581,0.1
4.10E-07,0.999209091,0.1
4.13E-07,0.999203564,0.1
4.16E-07,0.999198049,0.1
4.18E-07,0.99919252,0.1
4.21E-07,0.999186906,0.1
4.24E-07,0.999181255,0.1
4.27E-07,0.999175622,0.1
4.30E-07,0.99916984,0.1
4.33E-07,0.999164148,0.1
4.36E-07,0.999158337,0.1
4.39E-07,0.999152437,0.1
4.42E-07,0.999146496,0.1
4.45E-07,0.999140636,0.1
4.48E-07,0.999134693,0.1
4.51E-07,0.999128693,0.1
4.55E-07,0.999122644,0.1
4.58E-07,0.999116627,0.1
4.61E-07,0.999110429,0.1
4.64E-07,0.999104319,0.1
4.67E-07,0.99909806,0.1
4.71E-07,0.999091732,0.1
4.74E-07,0.99908545,0.1
4.77E-07,0.999079138,0.1
4.80E-07,0.999072695,0.1
4.84E-07,0.99906629,0.1
4.87E-07,0.999059817,0.1
4.91E-07,0.999053345,0.1
4.94E-07,0.999046539,0.1
4.97E-07,0.999040224,0.1
5.01E-07,0.999033469,0.1
5.04E-07,0.999026743,0.1
5.08E-07,0.999020012,0.1
5.11E-07,0.999013205,0.1
5.15E-07,0.999006304,0.1
5.18E-07,0.998999489,0.1
5.22E-07,0.998992534,0.1
5.26E-07,0.99898553,0.1
5.29E-07,0.998978455,0.1
5.33E-07,0.998971413,0.1
5.37E-07,0.998964328,0.1
5.40E-07,0.99895709,0.1
5.44E-07,0.998949786,0.1
5.48E-07,0.998942594,0.1
5.52E-07,0.998935196,0.1
5.56E-07,0.998927828,0.1
5.59E-07,0.998920415,0.1
5.63E-07,0.998912949,0.1
5.67E-07,0.998905297,0.1
5.71E-07,0.998897757,0.1
5.75E-07,0.998890129,0.1
5.79E-07,0.998882544,0.1
5.83E-07,0.998874583,0.1
5.87E-07,0.998866849,0.1
5.91E-07,0.99885891,0.1
5.95E-07,0.998851171,0.1
5.99E-07,0.998843046,0.1
6.04E-07,0.998835166,0.1
6.08E-07,0.998826989,0.1
6.12E-07,0.998818764,0.1
6.16E-07,0.998810654,0.1
6.21E-07,0.998802334,0.1
6.25E-07,0.99879423,0.1
6.29E-07,0.998785728,0.1
6.34E-07,0.998777275,0.1
6.38E-07,0.998768803,0.1
6.42E-07,0.998760347,0.1
6.47E-07,0.998751706,0.1
6.51E-07,0.998743062,0.1
6.56E-07,0.998734275,0.1
6.60E-07,0.998725503,0.1
6.65E-07,0.998716646,0.1
6.70E-07,0.998707876,0.1
6.74E-07,0.998698729,0.1
6.79E-07,0.998689709,0.1
6.84E-07,0.99868058,0.1
6.88E-07,0.998671358,0.1
6.93E-07,0.998662219,0.1
6.98E-07,0.99865295,0.1
7.03E-07,0.998643607,0.1
7.08E-07,0.998634209,0.1
7.13E-07,0.998624925,0.1
7.18E-07,0.998615396,0.1
7.23E-07,0.998605905,0.1
7.28E-07,0.998596129,0.1
7.33E-07,0.99858633,0.1
7.38E-07,0.998576462,0.1
7.43E-07,0.998566558,0.1
7.48E-07,0.998556592,0.1
7.53E-07,0.99854648,0.1
7.58E-07,0.998536494,0.1
7.64E-07,0.99852631,0.1
7.69E-07,0.998516227,0.1
7.74E-07,0.998505825,0.1
7.80E-07,0.998495483,0.1
7.85E-07,0.998485169,0.1
7.90E-07,0.99847461,0.1
7.96E-07,0.998463898,0.1
8.02E-07,0.998453203,0.1
8.07E-07,0.998442399,0.1
8.13E-07,0.998431615,0.1
8.18E-07,0.998420924,0.1
8.24E-07,0.998410148,0.1
8.30E-07,0.998398926,0.1
8.35E-07,0.998387902,0.1
8.41E-07,0.998376477,0.1
8.47E-07,0.998365139,0.1
8.53E-07,0.998353926,0.1
8.59E-07,0.998342574,0.1
8.65E-07,0.99833121,0.1
8.71E-07,0.998319423,0.1
8.77E-07,0.998307686,0.1
8.83E-07,0.998296096,0.1
8.89E-07,0.998284619,0.1
8.95E-07,0.998272646,0.1
9.01E-07,0.998260295,0.1
9.08E-07,0.998248305,0.1
9.14E-07,0.998236312,0.1
9.20E-07,0.998223794,0.1
9.27E-07,0.998211394,0.1
9.33E-07,0.998199039,0.1
9.40E-07,0.99818631,0.1
9.46E-07,0.998173632,0.1
9.53E-07,0.998161378,0.1
9.59E-07,0.998148626,0.1
9.66E-07,0.998135458,0.1
9.73E-07,0.998122659,0.1
9.79E-07,0.998109794,0.1
9.86E-07,0.998096276,0.1
9.93E-07,0.998083319,0.1
1.00E-06,0.99807026,0.1
1.01E-06,0.998056474,0.1
1.01E-06,0.998043358,0.1
1.02E-06,0.998030028,0.1
1.03E-06,0.998015764,0.1
1.04E-06,0.998002178,0.1
1.04E-06,0.997988679,0.1
1.05E-06,0.997974442,0.1
1.06E-06,0.997960406,0.1
1.06E-06,0.997946202,0.1
1.07E-06,0.997931968,0.1
1.08E-06,0.997917848,0.1
1.09E-06,0.997903111,0.1
1.09E-06,0.997888501,0.1
1.10E-06,0.997874094,0.1
1.11E-06,0.997859355,0.1
1.12E-06,0.997844274,0.1
1.12E-06,0.997829455,0.1
1.13E-06,0.997814749,0.1
1.14E-06,0.997798886,0.1
1.15E-06,0.9977837,0.1
1.16E-06,0.997768744,0.1
1.16E-06,0.997752915,0.1
1.17E-06,0.997737774,0.1
1.18E-06,0.997721777,0.1
1.19E-06,0.997705857,0.1
1.20E-06,0.997690169,0.1
1.21E-06,0.997674051,0.1
1.21E-06,0.997657963,0.1
1.22E-06,0.997641369,0.1
1.23E-06,0.997625599,0.1
1.24E-06,0.997609213,0.1
1.25E-06,0.997592203,0.1
1.26E-06,0.997575489,0.1
1.27E-06,0.997558722,0.1
1.27E-06,0.99754193,0.1
1.28E-06,0.997524429,0.1
1.29E-06,0.997507894,0.1
1.30E-06,0.997490079,0.1
1.31E-06,0.997472656,0.1
1.32E-06,0.997455284,0.1
1.33E-06,0.997437756,0.1
1.34E-06,0.997420573,0.1
1.35E-06,0.997401144,0.1
1.36E-06,0.997384699,0.1
1.37E-06,0.997365089,0.1
1.37E-06,0.997347918,0.1
1.38E-06,0.997328748,0.1
1.39E-06,0.997310282,0.1
1.40E-06,0.997292046,0.1
1.41E-06,0.997272759,0.1
1.42E-06,0.997254427,0.1
1.43E-06,0.997234833,0.1
1.44E-06,0.997216219,0.1
1.45E-06,0.997196517,0.1
1.46E-06,0.997177167,0.1
1.47E-06,0.997157534,0.1
1.48E-06,0.997138278,0.1
1.49E-06,0.997117743,0.1
1.50E-06,0.997098314,0.1
1.51E-06,0.997077457,0.1
1.52E-06,0.997057757,0.1
1.54E-06,0.997037454,0.1
1.55E-06,0.997015914,0.1
1.56E-06,0.996996344,0.1
1.57E-06,0.996975434,0.1
1.58E-06,0.996953821,0.1
1.59E-06,0.996932968,0.1
1.60E-06,0.996911292,0.1
1.61E-06,0.996890832,0.1
1.62E-06,0.996868403,0.1
1.63E-06,0.996847246,0.1
1.65E-06,0.996824245,0.1
1.66E-06,0.996804173,0.1
1.67E-06,0.99678001,0.1
1.68E-06,0.996758887,0.1
1.69E-06,0.996735862,0.1
1.70E-06,0.996713638,0.1
1.71E-06,0.996690666,0.1
1.73E-06,0.996667508,0.1
1.74E-06,0.996643927,0.1
1.75E-06,0.996621357,0.1
1.76E-06,0.996597262,0.1
1.78E-06,0.996574374,0.1
1.79E-06,0.996550066,0.1
1.80E-06,0.996526637,0.1
1.81E-06,0.996502143,0.1
1.82E-06,0.996479014,0.1
1.84E-06,0.996452462,0.1
1.85E-06,0.99643031,0.1
1.86E-06,0.996403848,0.1
1.88E-06,0.996379967,0.1
1.89E-06,0.996353784,0.1
1.90E-06,0.99632846,0.1
1.92E-06,0.996303299,0.1
1.93E-06,0.99627788,0.1
1.94E-06,0.996252132,0.1
1.96E-06,0.99622585,0.1
1.97E-06,0.996199856,0.1
1.98E-06,0.996173079,0.1
2.00E-06,0.996146915,0.1
2.01E-06,0.996120137,0.1
2.02E-06,0.996093034,0.1
2.04E-06,0.996066377,0.1
2.05E-06,0.99603807,0.1
2.07E-06,0.996011911,0.1
2.08E-06,0.995983346,0.1
2.10E-06,0.995955993,0.1
2.11E-06,0.995927793,0.1
2.12E-06,0.995899362,0.1
2.14E-06,0.995870935,0.1
2.15E-06,0.995842297,0.1
2.17E-06,0.995813368,0.1
2.18E-06,0.995784416,0.1
2.20E-06,0.995755167,0.1
2.21E-06,0.995725712,0.1
2.23E-06,0.99569602,0.1
2.25E-06,0.99566621,0.1
2.26E-06,0.995636142,0.1
2.28E-06,0.995605863,0.1
2.29E-06,0.995575324,0.1
2.31E-06,0.995544656,0.1
2.32E-06,0.995513765,0.1
2.34E-06,0.995482606,0.1
2.36E-06,0.995451194,0.1
2.37E-06,0.995419748,0.1
2.39E-06,0.99538796,0.1
2.41E-06,0.995355868,0.1
2.42E-06,0.995323675,0.1
2.44E-06,0.995291245,0.1
2.46E-06,0.995258631,0.1
2.47E-06,0.995225673,0.1
2.49E-06,0.995192528,0.1
2.51E-06,0.995159201,0.1
2.53E-06,0.995125638,0.1
2.54E-06,0.995091788,0.1
2.56E-06,0.995057698,0.1
2.58E-06,0.995023443,0.1
2.60E-06,0.994988937,0.1
2.61E-06,0.994954153,0.1
2.63E-06,0.994919088,0.1
2.65E-06,0.994883854,0.1
2.67E-06,0.994848402,0.1
2.69E-06,0.994812655,0.1
2.71E-06,0.994776617,0.1
2.73E-06,0.994740353,0.1
2.74E-06,0.994703906,0.1
2.76E-06,0.994667188,0.1
2.78E-06,0.994630158,0.1
2.80E-06,0.994592847,0.1
2.82E-06,0.994555345,0.1
2.84E-06,0.994517617,0.1
2.86E-06,0.994479598,0.1
2.88E-06,0.994441236,0.1
2.90E-06,0.994402626,0.1
2.92E-06,0.994363817,0.1
2.94E-06,0.994324776,0.1
2.96E-06,0.994285393,0.1
2.98E-06,0.994245684,0.1
3.00E-06,0.994205717,0.1
3.02E-06,0.994165559,0.1
3.04E-06,0.994125133,0.1
3.07E-06,0.994084371,0.1
3.09E-06,0.994043252,0.1
3.11E-06,0.994001887,0.1
3.13E-06,0.993960302,0.1
3.15E-06,0.993918472,0.1
3.17E-06,0.993876276,0.1
3.20E-06,0.993833726,0.1
