channel_name,channel_enum,module_sn,carrier_sn,chip_sn,detector_pcb,collection_area,collection_area_sd,solid_angle,solid_angle_sd,substrate_temp_offset,nw_per_dn_t0,nw_per_dn0,nw_per_dn1,nw_per_dn2,nw_per_dn3,nw_per_dn4,nw_per_dn5,optical_electrical_inequiv_percent
sw,0,7,14,6g.06,sn09,1.61810E-04,5.00E-07,7.654900E-04,1.160E-05,1.29,32.50,32.3732350,7.33842800E-04,-3.5058800E-05,1.8283320E-02,-9.8292700E-03,-1.2042920E-03,1.52
total,1,8,22,6g.02,sn06,1.60840E-04,5.40E-07,7.698600E-04,1.160E-05,1.57,32.50,32.4968760,7.31933400E-04,-3.6425590E-05,1.7398900E-02,-9.2116340E-03,-1.1875220E-03,1.32
lw,2,3,21,6g.04,sn07,1.61210E-04,1.00E-06,7.621200E-04,1.160E-05,1.57,32.50,33.2849330,7.37099200E-04,-3.8740810E-05,1.7247810E-02,-9.3023680E-03,-1.2275170E-03,2.15
ssw,3,5,23,6g.05,sn08,1.60560E-04,5.00E-07,7.678500E-04,1.160E-05,1.29,32.50,33.0778290,7.57473000E-04,-3.5757880E-05,1.8963630E-02,-1.0224860E-02,-1.2404960E-03,1.73
swcr,3,1,13,6d.22,sn05,1.61360E-04,3.40E-07,7.605700E-04,1.160E-05,1.29,26.00,28.4195120,9.72173700E-04,-5.5718170E-05,1.9751470E-02,-1.3451110E-02,-1.7444130E-03,1.50
